results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.79,-0.3,Christian COLEMAN,96,USA,F,1,"Boudewijnstadion, Bruxelles (BEL)",31.08,1281
9.88,+0.8,Ronnie BAKER,93,USA,F,1,"Stade Charléty, Paris (FRA)",30.06,1248
9.90,+0.2,Ronnie BAKER,93,USA,H2,1,"Olympic Stadium, London (GBR)",21.07,1241
9.90,+0.1,Ronnie BAKER,93,USA,F,1,"Olympic Stadium, London (GBR)",21.07,1241
9.91,+0.8,Jimmy VICAUT,92,FRA,F,2,"Stade Charléty, Paris (FRA)",30.06,1238
9.91,+0.8,Bingtian SU,89,CHN,F,3,"Stade Charléty, Paris (FRA)",30.06,1238
9.93,-0.4,Ronnie BAKER,93,USA,F,1,"Stadio Olimpico, Roma (ITA)",31.05,1233
9.93,+0.2,Akani SIMBINE,93,RSA,H2,2,"Olympic Stadium, London (GBR)",21.07,1231
9.93,+0.1,Zharnel HUGHES,95,GBR,F,2,"Olympic Stadium, London (GBR)",21.07,1231
9.93,-0.3,Ronnie BAKER,93,USA,F,2,"Boudewijnstadion, Bruxelles (BEL)",31.08,1232
9.94,+0.8,Akani SIMBINE,93,RSA,F,4,"Stade Charléty, Paris (FRA)",30.06,1227
9.94,+0.1,Akani SIMBINE,93,RSA,F,3,"Olympic Stadium, London (GBR)",21.07,1227
9.94,-0.5,Christian COLEMAN,96,USA,F,1,"Alexander Stadium, Birmingham (GBR)",18.08,1230
9.94,-0.5,Reece PRESCOD,96,GBR,F,2,"Alexander Stadium, Birmingham (GBR)",18.08,1230
9.94,-0.3,Yohan BLAKE,89,JAM,F,3,"Boudewijnstadion, Bruxelles (BEL)",31.08,1228
9.95,+0.1,Yohan BLAKE,89,JAM,F,4,"Olympic Stadium, London (GBR)",21.07,1224
9.96,+0.2,Michael RODGERS,85,USA,H2,3,"Olympic Stadium, London (GBR)",21.07,1220
9.96,+0.2,Tyquendo TRACEY,93,JAM,H2,4,"Olympic Stadium, London (GBR)",21.07,1220
9.97,+0.8,Zharnel HUGHES,95,GBR,H1,1,"Olympic Stadium, London (GBR)",21.07,1217
9.98,-0.4,Christian COLEMAN,96,USA,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1215
9.98,-0.4,Ronnie BAKER,93,USA,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1215
9.98,+0.1,Michael RODGERS,85,USA,F,5,"Olympic Stadium, London (GBR)",21.07,1213
9.98,+0.1,Tyquendo TRACEY,93,JAM,F,6,"Olympic Stadium, London (GBR)",21.07,1213
9.98,-0.5,Noah LYLES,97,USA,F,3,"Alexander Stadium, Birmingham (GBR)",18.08,1216
9.99,-0.4,Noah LYLES,97,USA,F,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1212
9.99,+0.8,Yohan BLAKE,89,JAM,H1,2,"Olympic Stadium, London (GBR)",21.07,1210
9.99,-0.5,Yohan BLAKE,89,JAM,F,4,"Alexander Stadium, Birmingham (GBR)",18.08,1213
9.99,-0.3,Reece PRESCOD,96,GBR,F,4,"Boudewijnstadion, Bruxelles (BEL)",31.08,1211
10.01,-0.4,Michael RODGERS,85,USA,F,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1205
10.01,+0.8,Zhenye XIE,93,CHN,H1,3,"Olympic Stadium, London (GBR)",21.07,1203
