results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.01,+0.1,Isiah YOUNG,90,USA,F,7,"Olympic Stadium, London (GBR)",21.07,1203
10.01,+0.1,Zhenye XIE,93,CHN,F,8,"Olympic Stadium, London (GBR)",21.07,1203
10.01,+0.9,Christian COLEMAN,96,USA,H2,1,"Alexander Stadium, Birmingham (GBR)",18.08,1203
10.02,-0.4,Jimmy VICAUT,92,FRA,F,2,"Stadio Olimpico, Roma (ITA)",31.05,1201
10.03,+1.2,Abdullah Abkar MOHAMMED,97,KSA,F,1,"Stade Charléty, Paris (FRA)",30.06,1196
10.03,+1.2,Hassan TAFTIAN,93,IRI,F,2,"Stade Charléty, Paris (FRA)",30.06,1196
10.03,+0.8,Yohan BLAKE,89,JAM,F,5,"Stade Charléty, Paris (FRA)",30.06,1196
10.03,+0.9,Yohan BLAKE,89,JAM,H2,2,"Alexander Stadium, Birmingham (GBR)",18.08,1196
10.03,-0.3,Akani SIMBINE,93,RSA,F,5,"Boudewijnstadion, Bruxelles (BEL)",31.08,1197
10.04,-0.5,Reece PRESCOD,96,GBR,F,1,"Shanghai Stadium, Shanghai (CHN)",12.05,1196
10.04,-0.4,Filippo TORTU,98,ITA,F,3,"Stadio Olimpico, Roma (ITA)",31.05,1195
10.05,-0.5,Bingtian SU,89,CHN,F,2,"Shanghai Stadium, Shanghai (CHN)",12.05,1192
10.05,-0.5,Zharnel HUGHES,95,GBR,F,5,"Alexander Stadium, Birmingham (GBR)",18.08,1192
10.06,-0.4,Christian COLEMAN,96,USA,F,4,"Stadio Olimpico, Roma (ITA)",31.05,1188
10.07,+2.0,Hassan TAFTIAN,93,IRI,F,1,"Olympiastadion, Stockholm (SWE)",10.06,1182
10.07,+0.1,Cameron BURRELL,94,USA,F,9,"Olympic Stadium, London (GBR)",21.07,1182
10.07,+0.1,Akani SIMBINE,93,RSA,H1,1,"Alexander Stadium, Birmingham (GBR)",18.08,1182
10.08,+0.8,Cameron BURRELL,94,USA,H1,4,"Olympic Stadium, London (GBR)",21.07,1179
10.09,-0.4,Reece PRESCOD,96,GBR,F,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1178
10.09,+0.8,Isiah YOUNG,90,USA,H1,5,"Olympic Stadium, London (GBR)",21.07,1176
10.09,+0.1,Zharnel HUGHES,95,GBR,H1,2,"Alexander Stadium, Birmingham (GBR)",18.08,1176
10.09,-0.5,Akani SIMBINE,93,RSA,F,6,"Alexander Stadium, Birmingham (GBR)",18.08,1179
10.10,+0.8,Michael RODGERS,85,USA,F,6,"Stade Charléty, Paris (FRA)",30.06,1172
10.10,+0.8,Ojie EDOBURUN,96,GBR,H1,6,"Olympic Stadium, London (GBR)",21.07,1172
10.10,+0.2,Jeff DEMPS,90,USA,H2,5,"Olympic Stadium, London (GBR)",21.07,1172
10.11,+0.1,Noah LYLES,97,USA,H1,3,"Alexander Stadium, Birmingham (GBR)",18.08,1169
10.12,+0.9,Reece PRESCOD,96,GBR,H2,3,"Alexander Stadium, Birmingham (GBR)",18.08,1165
10.13,-0.4,Akani SIMBINE,93,RSA,F,5,"Stadio Olimpico, Roma (ITA)",31.05,1164
10.13,-0.4,Michael RODGERS,85,USA,F,6,"Stadio Olimpico, Roma (ITA)",31.05,1164
10.13,+0.1,Chijindu UJAH,94,GBR,H1,4,"Alexander Stadium, Birmingham (GBR)",18.08,1162
10.15,+2.0,Yoshihide KIRYU,95,JPN,F,2,"Olympiastadion, Stockholm (SWE)",10.06,1155
10.15,+1.2,Henricho BRUINTJIES,93,RSA,F,3,"Stade Charléty, Paris (FRA)",30.06,1155
10.15,+0.8,Arthur CISSÉ,96,CIV,F,7,"Stade Charléty, Paris (FRA)",30.06,1155
10.15,+0.2,Hassan TAFTIAN,93,IRI,H2,6,"Olympic Stadium, London (GBR)",21.07,1155
10.15,-0.5,Tyquendo TRACEY,93,JAM,F,7,"Alexander Stadium, Birmingham (GBR)",18.08,1158
10.16,+0.2,Brandon CARNES,95,USA,H2,7,"Olympic Stadium, London (GBR)",21.07,1152
10.16,-0.3,Michael RODGERS,85,USA,F,6,"Boudewijnstadion, Bruxelles (BEL)",31.08,1153
10.17,-0.5,Zhenye XIE,93,CHN,F,3,"Shanghai Stadium, Shanghai (CHN)",12.05,1151
10.17,+2.0,Gavin SMELLIE,86,CAN,F,3,"Olympiastadion, Stockholm (SWE)",10.06,1148
10.17,+1.2,Mouhamadou FALL,92,FRA,F,4,"Stade Charléty, Paris (FRA)",30.06,1148
10.17,-0.5,Chijindu UJAH,94,GBR,F,8,"Alexander Stadium, Birmingham (GBR)",18.08,1151
10.17,-0.3,Chijindu UJAH,94,GBR,F,7,"Boudewijnstadion, Bruxelles (BEL)",31.08,1149
10.18,-0.5,Chijindu UJAH,94,GBR,F,4,"Shanghai Stadium, Shanghai (CHN)",12.05,1148
10.18,-0.5,Isiah YOUNG,90,USA,F,5,"Shanghai Stadium, Shanghai (CHN)",12.05,1148
10.18,+0.2,Harry AIKINES-ARYEETEY,88,GBR,H2,8,"Olympic Stadium, London (GBR)",21.07,1145
10.19,-0.4,Lamont Marcell JACOBS,94,ITA,F,7,"Stadio Olimpico, Roma (ITA)",31.05,1144
10.19,-0.4,Ramil GULIYEV,90,TUR,F,8,"Stadio Olimpico, Roma (ITA)",31.05,1144
10.19,-0.4,Chijindu UJAH,94,GBR,F,6,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1144
10.20,-0.5,Ramil GULIYEV,90,TUR,F,6,"Shanghai Stadium, Shanghai (CHN)",12.05,1141
10.20,-0.5,Justin GATLIN,82,USA,F,7,"Shanghai Stadium, Shanghai (CHN)",12.05,1141
10.20,+1.2,Churandy MARTINA,84,NED,F,5,"Stade Charléty, Paris (FRA)",30.06,1138
10.20,-0.4,Yoshihide KIRYU,95,JPN,F,7,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1140
10.22,-0.4,Arthur CISSÉ,96,CIV,F,8,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1134
10.22,-0.5,Michael RODGERS,85,USA,F,9,"Alexander Stadium, Birmingham (GBR)",18.08,1135
10.23,+1.2,Thando ROTO,95,RSA,F,6,"Stade Charléty, Paris (FRA)",30.06,1128
10.23,+0.8,Jeff DEMPS,90,USA,F,8,"Stade Charléty, Paris (FRA)",30.06,1128
10.24,+0.9,Michael RODGERS,85,USA,H2,4,"Alexander Stadium, Birmingham (GBR)",18.08,1125
10.25,-0.5,Andre DE GRASSE,94,CAN,F,8,"Shanghai Stadium, Shanghai (CHN)",12.05,1125
10.25,-0.3,Yoshihide KIRYU,95,JPN,F,1,"Olympiastadion, Stockholm (SWE)",10.06,1123
10.25,+0.1,Tyquendo TRACEY,93,JAM,H1,5,"Alexander Stadium, Birmingham (GBR)",18.08,1122
10.26,-0.5,Yoshihide KIRYU,95,JPN,F,9,"Shanghai Stadium, Shanghai (CHN)",12.05,1121
10.26,-0.3,Isiah YOUNG,90,USA,F,8,"Boudewijnstadion, Bruxelles (BEL)",31.08,1119
10.28,+2.0,Kemar HYMAN,89,CAY,F,4,"Olympiastadion, Stockholm (SWE)",10.06,1112
10.28,+0.1,Harry AIKINES-ARYEETEY,88,GBR,H1,6,"Alexander Stadium, Birmingham (GBR)",18.08,1112
10.30,-0.4,Isiah YOUNG,90,USA,F,9,"Stadio Olimpico, Roma (ITA)",31.05,1107
10.30,+1.2,Paulo André CAMILO,98,BRA,F,7,"Stade Charléty, Paris (FRA)",30.06,1105
10.30,-0.4,Abdullah Abkar MOHAMMED,97,KSA,F,9,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,1107
10.30,+0.9,Cameron BURRELL,94,USA,H2,5,"Alexander Stadium, Birmingham (GBR)",18.08,1105
10.31,+0.1,Adam GEMILI,93,GBR,H1,7,"Alexander Stadium, Birmingham (GBR)",18.08,1102
10.31,+0.9,Ojie EDOBURUN,96,GBR,H2,6,"Alexander Stadium, Birmingham (GBR)",18.08,1102
10.33,+0.1,Gavin SMELLIE,86,CAN,H1,8,"Alexander Stadium, Birmingham (GBR)",18.08,1095
10.34,+0.9,Sam GORDON,94,GBR,H2,7,"Alexander Stadium, Birmingham (GBR)",18.08,1092
10.35,+0.2,Silvan WICKI,95,SUI,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1089
10.44,+0.8,Andrew POZZI,92,GBR,H1,7,"Olympic Stadium, London (GBR)",21.07,1059
10.45,+2.0,Dennis LEAL,94,SWE,F,5,"Olympiastadion, Stockholm (SWE)",10.06,1056
10.54,+0.3,Federico GUGLIELMI,02,ITA,F,1,"Stadio Olimpico, Roma (ITA)",31.05,1027
10.55,+1.5,Pål Haugen LILLEFOSSE,01,NOR,F,1,"Bislett Stadion, Oslo (NOR)",07.06,1024
10.60,-0.1,To Rangers CARSON,98,FRA,F,1,"Stade Charléty, Paris (FRA)",30.06,1008
10.60,+0.2,Pascal MANCINI,89,SUI,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1008
10.66,+1.5,Christian MARTHINUSSEN,83,NOR,F,2,"Bislett Stadion, Oslo (NOR)",07.06,990
10.67,+0.3,Federico MANINI,01,ITA,F,2,"Stadio Olimpico, Roma (ITA)",31.05,986
10.68,+2.0,Edel Rogelio AMORES,98,CUB,F,6,"Olympiastadion, Stockholm (SWE)",10.06,983
10.70,-0.1,Nicolas-Jean MOULIN,99,FRA,F,2,"Stade Charléty, Paris (FRA)",30.06,977
10.70,-0.1,Devilert Arsene KIMBEMBE,84,CGO,F,3,"Stade Charléty, Paris (FRA)",30.06,977
10.74,+2.0,Odain ROSE,92,SWE,F,7,"Olympiastadion, Stockholm (SWE)",10.06,965
10.75,+2.0,Eetu RANTALA,93,FIN,F,8,"Olympiastadion, Stockholm (SWE)",10.06,962
10.77,-0.3,Douglas HELLBRATT,95,SWE,F,2,"Olympiastadion, Stockholm (SWE)",10.06,956
10.78,+1.5,Patrick MONGA BIFUKO,96,COD,F,3,"Bislett Stadion, Oslo (NOR)",07.06,952
10.79,+0.2,Sylvain CHUARD,96,SUI,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,949
10.82,+1.5,Filip BØE,00,NOR,F,4,"Bislett Stadion, Oslo (NOR)",07.06,940
10.84,+1.5,Hallgeir MARTINSEN,89,NOR,F,5,"Bislett Stadion, Oslo (NOR)",07.06,934
10.84,+0.2,Pascal MÜLLER,88,SUI,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,934
10.88,+0.3,Matteo MELLUZZO,02,ITA,F,3,"Stadio Olimpico, Roma (ITA)",31.05,922
10.91,-0.1,Sebastien BADDHA-MOURADI,98,FRA,F,4,"Stade Charléty, Paris (FRA)",30.06,913
10.92,+1.5,Riquelvis Rafael SANTIAGO,87,NOR,F,6,"Bislett Stadion, Oslo (NOR)",07.06,910
10.92,+1.5,Jostein Joshua FOSSØY,92,NOR,F,7,"Bislett Stadion, Oslo (NOR)",07.06,910
10.97,+1.2,Christophe LEMAITRE,90,FRA,F,8,"Stade Charléty, Paris (FRA)",30.06,895
10.97,+0.2,Gaëtan CARUSONE,97,SUI,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,895
10.98,-0.3,Lion MARTINEZ,78,SWE,F,3,"Olympiastadion, Stockholm (SWE)",10.06,893
10.98,-0.1,Falilou-thomas NDAW,92,FRA,F,5,"Stade Charléty, Paris (FRA)",30.06,892
10.99,-0.3,Jacob EWERTZH,95,SWE,F,4,"Olympiastadion, Stockholm (SWE)",10.06,890
10.99,+0.2,Joel NGIMBI MABIALA,00,SUI,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,889
11.00,+0.3,Enrico SANCIN,02,ITA,F,4,"Stadio Olimpico, Roma (ITA)",31.05,886
11.01,-0.1,Soufiane ZAKOUR,99,MAR,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,883
11.02,-0.1,Amine AIT ELHADJ,99,MAR,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,880
11.02,+0.9,Ncincilili TITI,93,RSA,H2,8,"Alexander Stadium, Birmingham (GBR)",18.08,880
11.03,+0.2,Arnaud VERGÈRES,95,SUI,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,877
11.04,-0.3,Jean-Christian ZIRIGNON,95,SWE,F,5,"Olympiastadion, Stockholm (SWE)",10.06,875
11.05,-0.3,Oskar MOTTA,98,SWE,F,6,"Olympiastadion, Stockholm (SWE)",10.06,872
11.06,-0.1,Anouar ELAOUFI,99,MAR,F,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,869
11.07,+1.5,Nils-Paul SKARA,87,NOR,F,8,"Bislett Stadion, Oslo (NOR)",07.06,866
11.10,+0.3,Mattia MECOZZI,01,ITA,F,5,"Stadio Olimpico, Roma (ITA)",31.05,857
11.14,-0.1,Mounir HAZAL,99,MAR,F,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,845
11.18,-0.1,Oussama FRINDI,00,MAR,F,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,834
11.21,-0.3,Grigorios KYRIAKOUDIS,97,SWE,F,7,"Olympiastadion, Stockholm (SWE)",10.06,826
11.24,-0.1,Hamza MOUDCHI,99,MAR,F,6,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,817
11.25,-0.1,Mohamed Amine DAGDAGUI,00,MAR,F,7,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13.07,814
