results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.08,+0.9,Diondre BATSON,92,USA,F1,6,"Stadio Olimpico, Roma (ITA)",04.06,1179
10.08,+0.9,Akani SIMBINE,93,RSA,F1,6,"Stadio Olimpico, Roma (ITA)",04.06,1179
10.08,+1.3,Clayton VAUGHN,92,USA,F,6,Paris (FRA),04.07,1179
10.08,+1.4,Kim COLLINS,76,SKN,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1179
10.08,-0.3,Chijindu UJAH,94,GBR,F,4,"Stade Louis II, Monaco (MON)",17.07,1180
10.08,-0.3,Nesta CARTER,85,JAM,H1,3,"Olympic Stadium, London (GBR)",24.07,1180
10.08,-0.8,Nesta CARTER,85,JAM,F,7,"Olympic Stadium, London (GBR)",24.07,1183
10.09,+1.9,Jimmy VICAUT,92,FRA,H1,4,"Alexander Stadium, Birmingham (GBR)",07.06,1176
10.09,+1.0,Nesta CARTER,85,JAM,H2,3,"Alexander Stadium, Birmingham (GBR)",07.06,1176
10.09,-0.8,Kim COLLINS,76,SKN,F,8,"Olympic Stadium, London (GBR)",24.07,1180
10.10,+0.9,Diondre BATSON,92,USA,F,7,"Suhaim bin Hamad Stadium, Doha (QAT)",15.05,1172
10.10,+1.0,Richard KILTY,89,GBR,H2,4,"Alexander Stadium, Birmingham (GBR)",07.06,1172
10.10,-0.3,Keston BLEDMAN,88,TTO,F,5,"Stade Louis II, Monaco (MON)",17.07,1173
10.11,+1.9,Keston BLEDMAN,88,TTO,H1,5,"Alexander Stadium, Birmingham (GBR)",07.06,1169
10.11,+2.0,Chijindu UJAH,94,GBR,F,6,"Alexander Stadium, Birmingham (GBR)",07.06,1169
10.11,+1.4,Isiah YOUNG,90,USA,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1169
10.11,-0.3,Nickel ASHMEADE,90,JAM,F,6,"Stade Louis II, Monaco (MON)",17.07,1170
10.11,-0.4,Ramon GITTENS,87,BAR,F,6,"Boudewijnstadion, Bruxelles (BEL)",11.09,1171
10.12,-0.3,Daniel BAILEY,86,ANT,F2,2,"Stadio Olimpico, Roma (ITA)",04.06,1166
10.12,-1.7,Tyson GAY,82,USA,F,1,"Icahn Stadium, New York, NY (USA)",13.06,1175
