results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.83,+0.4,Christian COLEMAN,96,USA,F,1,"Egret Stadium, Xiamen (CHN)",02.09,1266
9.83,+0.1,Christian COLEMAN,96,USA,F,1,"Hayward Field, Eugene, OR (USA)",16.09,1266
9.85,+0.4,Kishane THOMPSON,01,JAM,F,2,"Egret Stadium, Xiamen (CHN)",02.09,1259
9.85,+0.1,Noah LYLES,97,USA,F,2,"Hayward Field, Eugene, OR (USA)",16.09,1259
9.85,+0.1,Ferdinand OMANYALA,96,KEN,F,3,"Hayward Field, Eugene, OR (USA)",16.09,1259
9.87,+0.1,Kishane THOMPSON,01,JAM,F,4,"Hayward Field, Eugene, OR (USA)",16.09,1252
9.92,+0.6,Ferdinand OMANYALA,96,KEN,F,1,"Stade Louis II, Monaco (MON)",21.07,1234
9.93,+0.6,Letsile TEBOGO,03,BOT,F,2,"Stade Louis II, Monaco (MON)",21.07,1231
9.94,+0.1,Fred KERLEY,95,USA,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1227
9.94,0.0,Fred KERLEY,95,USA,F,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1227
9.96,+0.4,Fred KERLEY,95,USA,F,3,"Egret Stadium, Xiamen (CHN)",02.09,1220
9.97,-0.9,Noah LYLES,97,USA,F,1,"Stade Charléty, Paris (FRA)",09.06,1222
9.97,0.0,Akani SIMBINE,93,RSA,F,1,"Stadion Śląski, Chorzów (POL)",16.07,1217
9.98,-0.9,Ferdinand OMANYALA,96,KEN,F,2,"Stade Charléty, Paris (FRA)",09.06,1218
9.98,0.0,Fred KERLEY,95,USA,F,2,"Stadion Śląski, Chorzów (POL)",16.07,1213
9.98,0.0,Emmanuel ESEME,93,CMR,F,3,"Stadion Śląski, Chorzów (POL)",16.07,1213
9.99,+0.1,Akani SIMBINE,93,RSA,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1210
