results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.96,+0.3,Akani SIMBINE,93,RSA,F,1,"Stadio Olimpico, Roma (ITA)",17.09,1220
10.04,+0.3,Arthur CISSÉ,96,CIV,F,2,"Stadio Olimpico, Roma (ITA)",17.09,1193
10.09,+0.3,Filippo TORTU,98,ITA,F,3,"Stadio Olimpico, Roma (ITA)",17.09,1176
10.11,+0.3,Lamont Marcell JACOBS,94,ITA,F,4,"Stadio Olimpico, Roma (ITA)",17.09,1169
10.12,+0.3,Michael RODGERS,85,USA,F,5,"Stadio Olimpico, Roma (ITA)",17.09,1165
10.15,+0.3,Julian FORTE,93,JAM,F,6,"Stadio Olimpico, Roma (ITA)",17.09,1155
10.27,+0.3,Deniz ALMAS,97,GER,F,7,"Stadio Olimpico, Roma (ITA)",17.09,1115
10.29,+0.3,Mouhamadou FALL,92,FRA,F,8,"Stadio Olimpico, Roma (ITA)",17.09,1108
10.34,+0.3,Mario BURKE,97,BAR,F,9,"Stadio Olimpico, Roma (ITA)",17.09,1092
10.59,+0.2,Salum Ageze KASHAFALI,93,NOR,F,1,"Bislett Stadion, Oslo (NOR)",11.06,1011
10.78,+0.2,Mathias Hove JOHANSEN,98,NOR,F,2,"Bislett Stadion, Oslo (NOR)",11.06,952
11.04,+0.9,Saeed AL SAHOTI,04,QAT,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",25.09,874
11.05,+0.9,Mosa AL MOAEZ,03,SUD,F,2,"Suhaim bin Hamad Stadium, Doha (QAT)",25.09,871
11.20,+0.9,Oumar Doudai ABAKAR,05,QAT,F,3,"Suhaim bin Hamad Stadium, Doha (QAT)",25.09,828
11.26,+0.9,Abdrahman ABAKAR,06,QAT,F,4,"Suhaim bin Hamad Stadium, Doha (QAT)",25.09,811
11.58,+0.9,Suliman LATIF,04,QAT,F,5,"Suhaim bin Hamad Stadium, Doha (QAT)",25.09,723
