,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
100,10.51,+0.1,Jarrion LAWSON,94,USA,F,7,"Shanghai Stadium, Shanghai (CHN)",13.05,1037
101,10.51,+1.7,Sulayman BAH,86,SWE,F,7,"Olympiastadion, Stockholm (SWE)",18.06,1037
102,10.51,+0.1,Bastien MOUTHON,94,SUI,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1037
103,10.55,+1.7,Dennis LEAL,94,SWE,F,8,"Olympiastadion, Stockholm (SWE)",18.06,1024
104,10.57,+0.1,Sylvain CHUARD,96,SUI,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,1018
105,10.60,0.0,Bastien ANYLA,86,FRA,F,2,"Stade Charléty, Paris (FRA)",01.07,1008
106,10.65,0.0,Francois-xavier COLLATIN,95,FRA,F,3,"Stade Charléty, Paris (FRA)",01.07,993
107,10.68,+0.2,Jimmy VICAUT,92,FRA,F,8,"Bislett Stadion, Oslo (NOR)",15.06,983
108,10.68,0.0,Dylan RIGOT,89,FRA,F,4,"Stade Charléty, Paris (FRA)",01.07,983
109,10.71,0.0,Gregory MORNET,87,FRA,F,5,"Stade Charléty, Paris (FRA)",01.07,974
110,10.71,+0.1,Pascal MÜLLER,88,SUI,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,974
111,10.72,+0.1,William REAIS,99,SUI,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,971
112,10.76,0.0,Bruno NAPRIX,88,FRA,F,6,"Stade Charléty, Paris (FRA)",01.07,959
113,10.77,+0.2,Kim COLLINS,76,SKN,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",06.07,955
114,10.78,-0.2,Kyle DE ESCOFET,96,GBR,F,7,"Alexander Stadium, Birmingham (GBR)",20.08,953
115,10.80,0.0,Durel EFFEIND,95,CGO,F,7,"Stade Charléty, Paris (FRA)",01.07,946
116,10.85,0.0,Vincent MICHALET,92,FRA,F,8,"Stade Charléty, Paris (FRA)",01.07,931
117,10.94,-2.0,Owaab BARROW,01,QAT,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,916
118,11.03,-1.1,Jaan BAL,00,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",01.09,883
119,11.09,-1.1,Wolf BELIEN,01,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",01.09,866
120,11.10,-1.1,Lionel HALLEUX,00,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",01.09,863
121,11.15,-1.1,Amine KASMI,00,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",01.09,848
122,11.23,-1.1,Maarten SAERENS,00,BEL,F,5,"Boudewijnstadion, Bruxelles (BEL)",01.09,826
123,11.27,-1.1,Tristan GLORIE,00,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",01.09,814
124,11.31,-1.1,Daniel SEGERS,01,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",01.09,803
125,11.45,-1.1,Matthieu DAVIES,00,BEL,F,8,"Boudewijnstadion, Bruxelles (BEL)",01.09,764
