results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.81,-0.1,Christian COLEMAN,96,USA,F,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1273
9.85,+0.9,Christian COLEMAN,96,USA,F,1,"Bislett Stadion, Oslo (NOR)",13.06,1259
9.86,+0.9,Noah LYLES,97,USA,F,1,"Shanghai Stadium, Shanghai (CHN)",18.05,1255
9.86,+0.9,Christian COLEMAN,96,USA,F,2,"Shanghai Stadium, Shanghai (CHN)",18.05,1255
9.87,-0.1,Justin GATLIN,82,USA,F,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1252
9.91,+0.3,Justin GATLIN,82,USA,F,1,"Stade Louis II, Monaco (MON)",12.07,1238
9.92,+0.2,Justin GATLIN,82,USA,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1234
9.92,+0.3,Noah LYLES,97,USA,F,2,"Stade Louis II, Monaco (MON)",12.07,1234
9.93,+0.5,Akani SIMBINE,93,RSA,F,1,"Olympic Stadium, London (GBR)",20.07,1231
9.95,+0.9,Akani SIMBINE,93,RSA,F,3,"Shanghai Stadium, Shanghai (CHN)",18.05,1224
9.95,+0.5,Zharnel HUGHES,95,GBR,F,2,"Olympic Stadium, London (GBR)",20.07,1224
9.96,-0.4,Zharnel HUGHES,95,GBR,H2,1,"Olympic Stadium, London (GBR)",20.07,1222
9.97,+0.9,Reece PRESCOD,96,GBR,F,4,"Shanghai Stadium, Shanghai (CHN)",18.05,1217
9.97,-0.1,Zharnel HUGHES,95,GBR,F,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1217
9.97,+0.5,Yohan BLAKE,89,JAM,F,3,"Olympic Stadium, London (GBR)",20.07,1217
9.98,+0.5,Yuki KOIKE,95,JPN,F,4,"Olympic Stadium, London (GBR)",20.07,1213
9.98,-0.4,Noah LYLES,97,USA,F,1,"Letzigrund, Zürich (SUI)",29.08,1215
9.99,+0.5,Andre DE GRASSE,94,CAN,F,5,"Olympic Stadium, London (GBR)",20.07,1210
10.01,+0.9,Zhenye XIE,93,CHN,F,2,"Bislett Stadion, Oslo (NOR)",13.06,1203
10.01,+0.2,Michael RODGERS,85,USA,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1203
10.01,+0.3,Michael RODGERS,85,USA,F,3,"Stade Louis II, Monaco (MON)",12.07,1203
10.01,-0.3,Akani SIMBINE,93,RSA,H1,1,"Olympic Stadium, London (GBR)",20.07,1204
10.03,-0.3,Hassan TAFTIAN,93,IRI,F1,1,"Stade Charléty, Paris (FRA)",24.08,1197
10.04,+0.9,Michael RODGERS,85,USA,F,3,"Bislett Stadion, Oslo (NOR)",13.06,1193
10.04,+0.3,Akani SIMBINE,93,RSA,F,4,"Stade Louis II, Monaco (MON)",12.07,1193
10.04,+0.5,Adam GEMILI,93,GBR,F,6,"Olympic Stadium, London (GBR)",20.07,1193
10.04,-0.4,Zhenye XIE,93,CHN,F,2,"Letzigrund, Zürich (SUI)",29.08,1195
10.05,+0.9,Bingtian SU,89,CHN,F,5,"Shanghai Stadium, Shanghai (CHN)",18.05,1189
10.05,-0.1,Cravon GILLESPIE,96,USA,F,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1189
10.05,-0.4,Andre DE GRASSE,94,CAN,H2,2,"Olympic Stadium, London (GBR)",20.07,1191
10.06,-0.3,Yohan BLAKE,89,JAM,H1,2,"Olympic Stadium, London (GBR)",20.07,1187
10.07,+0.2,Aaron BROWN,92,CAN,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1182
10.07,-0.3,Adam GEMILI,93,GBR,H1,3,"Olympic Stadium, London (GBR)",20.07,1183
10.07,+2.0,Yohan BLAKE,89,JAM,F,1,"Alexander Stadium, Birmingham (GBR)",18.08,1182
10.07,+2.0,Adam GEMILI,93,GBR,F,2,"Alexander Stadium, Birmingham (GBR)",18.08,1182
10.07,-0.4,Yohan BLAKE,89,JAM,F,3,"Letzigrund, Zürich (SUI)",29.08,1184
10.08,-0.1,Michael RODGERS,85,USA,F,5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1179
10.08,+0.2,Arthur CISSÉ,96,CIV,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1179
10.08,+0.7,Adam GEMILI,93,GBR,H1,1,"Alexander Stadium, Birmingham (GBR)",18.08,1179
10.08,-0.4,Justin GATLIN,82,USA,F,4,"Letzigrund, Zürich (SUI)",29.08,1181
10.09,+0.9,Zhenye XIE,93,CHN,F,6,"Shanghai Stadium, Shanghai (CHN)",18.05,1176
10.09,-0.3,Yuki KOIKE,95,JPN,H1,4,"Olympic Stadium, London (GBR)",20.07,1177
10.09,+0.7,Christopher BELCHER,94,USA,H1,2,"Alexander Stadium, Birmingham (GBR)",18.08,1176
10.09,+2.0,Michael RODGERS,85,USA,F,3,"Alexander Stadium, Birmingham (GBR)",18.08,1176
10.10,+0.9,Filippo TORTU,98,ITA,F,4,"Bislett Stadion, Oslo (NOR)",13.06,1172
10.10,-0.4,Akani SIMBINE,93,RSA,F,5,"Letzigrund, Zürich (SUI)",29.08,1174
10.12,-0.1,Arthur CISSÉ,96,CIV,F,6,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1165
10.13,+0.5,Yoshihide KIRYU,95,JPN,F,7,"Olympic Stadium, London (GBR)",20.07,1162
10.13,+2.0,Christopher BELCHER,94,USA,F,4,"Alexander Stadium, Birmingham (GBR)",18.08,1162
10.13,+2.0,Andre DE GRASSE,94,CAN,F,5,"Alexander Stadium, Birmingham (GBR)",18.08,1162
10.14,+0.9,Isiah YOUNG,90,USA,F,7,"Shanghai Stadium, Shanghai (CHN)",18.05,1159
10.14,+0.3,Cravon GILLESPIE,96,USA,F,5,"Stade Louis II, Monaco (MON)",12.07,1159
10.14,-0.4,Cejhae GREENE,95,ANT,H2,3,"Olympic Stadium, London (GBR)",20.07,1161
10.14,+0.7,Andre DE GRASSE,94,CAN,H1,3,"Alexander Stadium, Birmingham (GBR)",18.08,1159
10.14,+2.0,Tyquendo TRACEY,93,JAM,F,6,"Alexander Stadium, Birmingham (GBR)",18.08,1159
10.15,+0.9,Michael RODGERS,85,USA,F,8,"Shanghai Stadium, Shanghai (CHN)",18.05,1155
10.15,+0.9,Yuki KOIKE,95,JPN,F,5,"Bislett Stadion, Oslo (NOR)",13.06,1155
10.15,+0.7,Akani SIMBINE,93,RSA,H1,4,"Alexander Stadium, Birmingham (GBR)",18.08,1155
10.15,+2.0,Akani SIMBINE,93,RSA,F,7,"Alexander Stadium, Birmingham (GBR)",18.08,1155
10.15,-0.4,Zharnel HUGHES,95,GBR,F,6,"Letzigrund, Zürich (SUI)",29.08,1157
10.15,-0.4,Adam GEMILI,93,GBR,F,7,"Letzigrund, Zürich (SUI)",29.08,1157
10.16,-0.4,Yoshihide KIRYU,95,JPN,H2,4,"Olympic Stadium, London (GBR)",20.07,1154
10.16,-0.3,Michael RODGERS,85,USA,H2,1,"Alexander Stadium, Birmingham (GBR)",18.08,1153
10.16,-0.4,Michael RODGERS,85,USA,F,8,"Letzigrund, Zürich (SUI)",29.08,1154
10.17,+0.3,Jimmy VICAUT,92,FRA,F,6,"Stade Louis II, Monaco (MON)",12.07,1148
10.17,-0.3,Arthur CISSÉ,96,CIV,H1,5,"Olympic Stadium, London (GBR)",20.07,1149
10.17,+2.0,Zhenye XIE,93,CHN,F,8,"Alexander Stadium, Birmingham (GBR)",18.08,1148
10.18,+0.9,Tyquendo TRACEY,93,JAM,F,9,"Shanghai Stadium, Shanghai (CHN)",18.05,1145
10.18,+0.9,Chijindu UJAH,94,GBR,F,6,"Bislett Stadion, Oslo (NOR)",13.06,1145
10.18,+0.2,Cameron BURRELL,94,USA,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1145
10.18,-0.4,Tyquendo TRACEY,93,JAM,H2,5,"Olympic Stadium, London (GBR)",20.07,1147
10.18,-0.3,Yohan BLAKE,89,JAM,H2,2,"Alexander Stadium, Birmingham (GBR)",18.08,1146
10.19,+0.2,Devin QUINN,96,USA,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1142
10.19,-0.4,Chijindu UJAH,94,GBR,H2,6,"Olympic Stadium, London (GBR)",20.07,1144
10.19,+0.5,Cejhae GREENE,95,ANT,F,8,"Olympic Stadium, London (GBR)",20.07,1142
10.19,+0.7,Tyquendo TRACEY,93,JAM,H1,5,"Alexander Stadium, Birmingham (GBR)",18.08,1142
10.19,-0.3,Zhenye XIE,93,CHN,H2,3,"Alexander Stadium, Birmingham (GBR)",18.08,1143
10.19,-0.3,Emre Zafer BARNES,88,TUR,F1,2,"Stade Charléty, Paris (FRA)",24.08,1143
10.20,+0.2,Kendal WILLIAMS,95,USA,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1138
10.21,-0.1,Filippo TORTU,98,ITA,F,7,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1135
10.21,-0.1,Cameron BURRELL,94,USA,F,8,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1135
10.25,+0.3,Arthur CISSÉ,96,CIV,F,7,"Stade Louis II, Monaco (MON)",12.07,1122
10.25,+0.5,Arthur CISSÉ,96,CIV,F,9,"Olympic Stadium, London (GBR)",20.07,1122
10.25,-0.3,Gavin SMELLIE,86,CAN,F1,3,"Stade Charléty, Paris (FRA)",24.08,1123
10.26,+0.3,Divine ODUDURU,96,NGR,F,8,"Stade Louis II, Monaco (MON)",12.07,1118
10.26,-0.3,Jerome BLAKE,95,CAN,F1,4,"Stade Charléty, Paris (FRA)",24.08,1119
10.27,-0.3,Amaury GOLITIN,97,FRA,F1,5,"Stade Charléty, Paris (FRA)",24.08,1116
10.28,+0.9,Tommy RAMDHAN,96,GBR,F,7,"Bislett Stadion, Oslo (NOR)",13.06,1112
10.28,-0.3,Andrew ROBERTSON,90,GBR,H1,6,"Olympic Stadium, London (GBR)",20.07,1113
10.28,-0.4,Harry AIKINES-ARYEETEY,88,GBR,H2,7,"Olympic Stadium, London (GBR)",20.07,1114
10.28,-0.4,Richard KILTY,89,GBR,H2,8,"Olympic Stadium, London (GBR)",20.07,1114
10.29,-0.3,Arthur CISSÉ,96,CIV,H2,4,"Alexander Stadium, Birmingham (GBR)",18.08,1109
10.29,-0.3,Bismark BOATENG,92,CAN,F1,6,"Stade Charléty, Paris (FRA)",24.08,1109
10.31,+0.7,Yuki KOIKE,95,JPN,H1,6,"Alexander Stadium, Birmingham (GBR)",18.08,1102
10.33,+0.2,Devon ALLEN,94,USA,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1095
10.33,-0.3,Julian FORTE,93,JAM,H1,7,"Olympic Stadium, London (GBR)",20.07,1096
10.34,-0.3,Marvin RENÉ,95,FRA,F1,7,"Stade Charléty, Paris (FRA)",24.08,1093
10.34,-0.3,Diogo ANTUNES,92,POR,F1,8,"Stade Charléty, Paris (FRA)",24.08,1093
10.36,+1.4,Churandy MARTINA,84,NED,F2,,"Olympiastadion, Stockholm (SWE)",30.05,1085
10.36,+0.7,Cameron BURRELL,94,USA,H1,7,"Alexander Stadium, Birmingham (GBR)",18.08,1085
10.36,-0.3,Bingtian SU,89,CHN,H2,5,"Alexander Stadium, Birmingham (GBR)",18.08,1086
10.37,+0.4,Churandy MARTINA,84,NED,F1,1,"Olympiastadion, Stockholm (SWE)",30.05,1082
10.37,+0.7,Harry AIKINES-ARYEETEY,88,GBR,H1,8,"Alexander Stadium, Birmingham (GBR)",18.08,1082
10.38,-0.3,Oliver BROMBY,98,GBR,H1,8,"Olympic Stadium, London (GBR)",20.07,1080
10.40,-0.4,Alex WILSON,90,SUI,F,9,"Letzigrund, Zürich (SUI)",29.08,1074
10.41,+1.4,Jeff HENDERSON,89,USA,F2,1,"Olympiastadion, Stockholm (SWE)",30.05,1069
10.41,+0.7,Arian SMITH,01,USA,F,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1069
10.42,-0.1,Tyquendo TRACEY,93,JAM,F,9,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1066
10.42,-0.3,Romell GLAVE,99,JAM,H2,6,"Alexander Stadium, Birmingham (GBR)",18.08,1067
10.44,-0.3,Oliver BROMBY,98,GBR,H2,7,"Alexander Stadium, Birmingham (GBR)",18.08,1060
10.44,-0.3,Demek KEMP,96,USA,H2,8,"Alexander Stadium, Birmingham (GBR)",18.08,1060
10.45,+1.8,Salum Ageze KASHAFALI,93,NOR,F,1,"Bislett Stadion, Oslo (NOR)",13.06,1056
10.45,+0.2,Kojo MUSAH,96,DEN,F3,1,"Stade Charléty, Paris (FRA)",24.08,1056
10.46,+0.7,Marcellus MOORE,02,USA,F,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1053
10.51,+0.4,Austin HAMILTON,97,SWE,F1,2,"Olympiastadion, Stockholm (SWE)",30.05,1037
10.52,-1.1,Dylan RIGOT,89,FRA,F2,1,"Stade Charléty, Paris (FRA)",24.08,1040
10.53,+0.4,Solomon BOCKARIE,87,NED,F1,3,"Olympiastadion, Stockholm (SWE)",30.05,1031
10.53,+0.4,Gavin SMELLIE,86,CAN,F1,4,"Olympiastadion, Stockholm (SWE)",30.05,1031
10.53,+0.4,Rechmial MILLER,98,GBR,F1,5,"Olympiastadion, Stockholm (SWE)",30.05,1031
10.53,-1.1,Yazaldes NASCIMENTO,86,POR,F2,2,"Stade Charléty, Paris (FRA)",24.08,1037
10.53,+0.2,Pol RETAMAL,99,ESP,F3,2,"Stade Charléty, Paris (FRA)",24.08,1031
10.56,+0.7,Ryan MARTIN,01,USA,F,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1021
10.56,+0.2,Tazana Mikkel KAMANGA-DYRBAK,02,DEN,F3,3,"Stade Charléty, Paris (FRA)",24.08,1021
10.57,-1.1,Ryan ZEZE,98,FRA,F2,3,"Stade Charléty, Paris (FRA)",24.08,1024
10.60,+0.7,Ryan MULHOLLAND, - ,USA,F,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1008
10.61,+1.8,Even MEINSETH,96,NOR,F,2,"Bislett Stadion, Oslo (NOR)",13.06,1005
10.63,+1.4,Michael LUXEMBURG,94,SWE,F2,2,"Olympiastadion, Stockholm (SWE)",30.05,999
10.63,+0.7,Lance BROOME, - ,USA,F,5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,999
