,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
0,9.83,+0.4,Christian COLEMAN,96,USA,F,1,"Egret Stadium, Xiamen (CHN)",02.09,1266
1,9.83,+0.1,Christian COLEMAN,96,USA,F,1,"Hayward Field, Eugene, OR (USA)",16.09,1266
2,9.85,+0.4,Kishane THOMPSON,01,JAM,F,2,"Egret Stadium, Xiamen (CHN)",02.09,1259
3,9.85,+0.1,Noah LYLES,97,USA,F,2,"Hayward Field, Eugene, OR (USA)",16.09,1259
4,9.85,+0.1,Ferdinand OMANYALA,96,KEN,F,3,"Hayward Field, Eugene, OR (USA)",16.09,1259
5,9.87,+0.1,Kishane THOMPSON,01,JAM,F,4,"Hayward Field, Eugene, OR (USA)",16.09,1252
6,9.92,+0.6,Ferdinand OMANYALA,96,KEN,F,1,"Stade Louis II, Monaco (MON)",21.07,1234
7,9.93,+0.6,Letsile TEBOGO,03,BOT,F,2,"Stade Louis II, Monaco (MON)",21.07,1231
8,9.94,+0.1,Fred KERLEY,95,USA,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1227
9,9.94,0.0,Fred KERLEY,95,USA,F,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1227
10,9.96,+0.4,Fred KERLEY,95,USA,F,3,"Egret Stadium, Xiamen (CHN)",02.09,1220
11,9.97,-0.9,Noah LYLES,97,USA,F,1,"Stade Charléty, Paris (FRA)",09.06,1222
12,9.97,0.0,Akani SIMBINE,93,RSA,F,1,"Stadion Śląski, Chorzów (POL)",16.07,1217
13,9.98,-0.9,Ferdinand OMANYALA,96,KEN,F,2,"Stade Charléty, Paris (FRA)",09.06,1218
14,9.98,0.0,Fred KERLEY,95,USA,F,2,"Stadion Śląski, Chorzów (POL)",16.07,1213
15,9.98,0.0,Emmanuel ESEME,93,CMR,F,3,"Stadion Śląski, Chorzów (POL)",16.07,1213
16,9.99,+0.1,Akani SIMBINE,93,RSA,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1210
17,9.99,0.0,Cravont CHARLESTON,98,USA,F,4,"Stadion Śląski, Chorzów (POL)",16.07,1210
18,10.00,+0.6,Ackeem BLAKE,02,JAM,F,3,"Stade Louis II, Monaco (MON)",21.07,1206
19,10.01,0.0,Yohan BLAKE,89,JAM,F,5,"Stadion Śląski, Chorzów (POL)",16.07,1203
20,10.01,+0.6,Yohan BLAKE,89,JAM,F,4,"Stade Louis II, Monaco (MON)",21.07,1203
21,10.01,+0.4,Brandon CARNES,95,USA,F,4,"Egret Stadium, Xiamen (CHN)",02.09,1203
22,10.01,+0.1,Marvin BRACY-WILLIAMS,93,USA,F,5,"Hayward Field, Eugene, OR (USA)",16.09,1203
23,10.02,+0.4,Marvin BRACY-WILLIAMS,93,USA,F,5,"Egret Stadium, Xiamen (CHN)",02.09,1199
24,10.03,+1.0,Akani SIMBINE,93,RSA,F,1,"Olympiastadion, Stockholm (SWE)",02.07,1196
25,10.04,+0.6,Kishane THOMPSON,01,JAM,F,5,"Stade Louis II, Monaco (MON)",21.07,1193
26,10.04,+0.4,Yohan BLAKE,89,JAM,F,6,"Egret Stadium, Xiamen (CHN)",02.09,1193
27,10.05,+0.1,Ferdinand OMANYALA,96,KEN,F,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1189
28,10.05,0.0,Ferdinand OMANYALA,96,KEN,F,2,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1189
29,10.05,-0.9,Letsile TEBOGO,03,BOT,F,3,"Stade Charléty, Paris (FRA)",09.06,1194
30,10.05,+0.4,Lamont Marcell JACOBS,94,ITA,F,7,"Egret Stadium, Xiamen (CHN)",02.09,1189
31,10.06,+0.2,Jimmy VICAUT,92,FRA,F2,1,"Stade Charléty, Paris (FRA)",09.06,1186
32,10.08,+0.1,Yohan BLAKE,89,JAM,F,6,"Hayward Field, Eugene, OR (USA)",16.09,1179
33,10.09,+0.1,Letsile TEBOGO,03,BOT,F,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1176
34,10.09,0.0,Trayvon BROMELL,95,USA,F,3,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1176
35,10.09,0.0,Akani SIMBINE,93,RSA,F,4,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1176
36,10.10,+0.1,Trayvon BROMELL,95,USA,F,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1172
37,10.10,0.0,Marvin BRACY-WILLIAMS,93,USA,F,6,"Stadion Śląski, Chorzów (POL)",16.07,1172
38,10.11,+1.0,Jerome BLAKE,95,CAN,F1,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1169
39,10.12,+0.4,Zhenye XIE,93,CHN,F,8,"Egret Stadium, Xiamen (CHN)",02.09,1165
40,10.13,0.0,Samuele CECCARELLI,00,ITA,F,5,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1162
