results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.69,-0.1,Yohan BLAKE,89,JAM,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23.08,1316
9.76,-0.1,Usain BOLT,86,JAM,F,1,"Stadio Olimpico, Roma (ITA)",31.05,1291
9.76,+1.4,Yohan BLAKE,89,JAM,F,1,"Letzigrund, Zürich (SUI)",30.08,1291
9.79,+0.6,Usain BOLT,86,JAM,F,1,"Bislett Stadion, Oslo (NOR)",07.06,1280
9.85,+0.6,Asafa POWELL,82,JAM,F,2,"Bislett Stadion, Oslo (NOR)",07.06,1259
9.86,+0.3,Usain BOLT,86,JAM,F,1,"Boudewijnstadion, Bruxelles (BEL)",07.09,1255
9.87,+0.4,Justin GATLIN,82,USA,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",11.05,1252
9.88,+0.4,Asafa POWELL,82,JAM,F,2,"Suhaim bin Hamad Stadium, Doha (QAT)",11.05,1248
9.90,+1.3,Justin GATLIN,82,USA,F,1,"Hayward Field, Eugene, OR (USA)",02.06,1241
9.90,+0.7,Yohan BLAKE,89,JAM,F1,1,"Icahn Stadium, New York, NY (USA)",09.06,1241
9.91,-0.1,Asafa POWELL,82,JAM,F,2,"Stadio Olimpico, Roma (ITA)",31.05,1238
9.93,+1.3,Nickel ASHMEADE,90,JAM,F,2,"Hayward Field, Eugene, OR (USA)",02.06,1231
9.93,+0.7,Keston BLEDMAN,88,TTO,F1,2,"Icahn Stadium, New York, NY (USA)",09.06,1231
9.93,+0.7,Ryan BAILEY,89,USA,F,1,"Olympiastadion, Stockholm (SWE)",17.08,1231
9.95,-0.1,Nesta CARTER,85,JAM,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",23.08,1224
9.95,+1.4,Nesta CARTER,85,JAM,F,2,"Letzigrund, Zürich (SUI)",30.08,1224
9.96,+0.3,Nesta CARTER,85,JAM,F,2,"Boudewijnstadion, Bruxelles (BEL)",07.09,1220
9.97,+1.4,Ryan BAILEY,89,USA,F,3,"Letzigrund, Zürich (SUI)",30.08,1217
9.97,+0.3,Kemar BAILEY-COLE,92,JAM,F,3,"Boudewijnstadion, Bruxelles (BEL)",07.09,1217
9.99,+0.4,Lerone CLARKE,81,JAM,F,3,"Suhaim bin Hamad Stadium, Doha (QAT)",11.05,1210
9.99,+0.7,Michael RODGERS,85,USA,F1,3,"Icahn Stadium, New York, NY (USA)",09.06,1210
9.99,0.0,Tyson GAY,82,USA,F,1,Paris (FRA),06.07,1210
