,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
0,9.81,-0.1,Christian COLEMAN,96,USA,F,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1273
1,9.85,+0.9,Christian COLEMAN,96,USA,F,1,"Bislett Stadion, Oslo (NOR)",13.06,1259
2,9.86,+0.9,Noah LYLES,97,USA,F,1,"Shanghai Stadium, Shanghai (CHN)",18.05,1255
3,9.86,+0.9,Christian COLEMAN,96,USA,F,2,"Shanghai Stadium, Shanghai (CHN)",18.05,1255
4,9.87,-0.1,Justin GATLIN,82,USA,F,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1252
5,9.91,+0.3,Justin GATLIN,82,USA,F,1,"Stade Louis II, Monaco (MON)",12.07,1238
6,9.92,+0.2,Justin GATLIN,82,USA,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1234
7,9.92,+0.3,Noah LYLES,97,USA,F,2,"Stade Louis II, Monaco (MON)",12.07,1234
8,9.93,+0.5,Akani SIMBINE,93,RSA,F,1,"Olympic Stadium, London (GBR)",20.07,1231
9,9.95,+0.9,Akani SIMBINE,93,RSA,F,3,"Shanghai Stadium, Shanghai (CHN)",18.05,1224
10,9.95,+0.5,Zharnel HUGHES,95,GBR,F,2,"Olympic Stadium, London (GBR)",20.07,1224
11,9.96,-0.4,Zharnel HUGHES,95,GBR,H2,1,"Olympic Stadium, London (GBR)",20.07,1222
12,9.97,+0.9,Reece PRESCOD,96,GBR,F,4,"Shanghai Stadium, Shanghai (CHN)",18.05,1217
13,9.97,-0.1,Zharnel HUGHES,95,GBR,F,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1217
14,9.97,+0.5,Yohan BLAKE,89,JAM,F,3,"Olympic Stadium, London (GBR)",20.07,1217
15,9.98,+0.5,Yuki KOIKE,95,JPN,F,4,"Olympic Stadium, London (GBR)",20.07,1213
16,9.98,-0.4,Noah LYLES,97,USA,F,1,"Letzigrund, Zürich (SUI)",29.08,1215
17,9.99,+0.5,Andre DE GRASSE,94,CAN,F,5,"Olympic Stadium, London (GBR)",20.07,1210
18,10.01,+0.9,Zhenye XIE,93,CHN,F,2,"Bislett Stadion, Oslo (NOR)",13.06,1203
19,10.01,+0.2,Michael RODGERS,85,USA,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1203
20,10.01,+0.3,Michael RODGERS,85,USA,F,3,"Stade Louis II, Monaco (MON)",12.07,1203
21,10.01,-0.3,Akani SIMBINE,93,RSA,H1,1,"Olympic Stadium, London (GBR)",20.07,1204
22,10.03,-0.3,Hassan TAFTIAN,93,IRI,F1,1,"Stade Charléty, Paris (FRA)",24.08,1197
23,10.04,+0.9,Michael RODGERS,85,USA,F,3,"Bislett Stadion, Oslo (NOR)",13.06,1193
