,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
24,10.04,+0.3,Akani SIMBINE,93,RSA,F,4,"Stade Louis II, Monaco (MON)",12.07,1193
25,10.04,+0.5,Adam GEMILI,93,GBR,F,6,"Olympic Stadium, London (GBR)",20.07,1193
26,10.04,-0.4,Zhenye XIE,93,CHN,F,2,"Letzigrund, Zürich (SUI)",29.08,1195
27,10.05,+0.9,Bingtian SU,89,CHN,F,5,"Shanghai Stadium, Shanghai (CHN)",18.05,1189
28,10.05,-0.1,Cravon GILLESPIE,96,USA,F,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1189
29,10.05,-0.4,Andre DE GRASSE,94,CAN,H2,2,"Olympic Stadium, London (GBR)",20.07,1191
30,10.06,-0.3,Yohan BLAKE,89,JAM,H1,2,"Olympic Stadium, London (GBR)",20.07,1187
31,10.07,+0.2,Aaron BROWN,92,CAN,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1182
32,10.07,-0.3,Adam GEMILI,93,GBR,H1,3,"Olympic Stadium, London (GBR)",20.07,1183
33,10.07,+2.0,Yohan BLAKE,89,JAM,F,1,"Alexander Stadium, Birmingham (GBR)",18.08,1182
34,10.07,+2.0,Adam GEMILI,93,GBR,F,2,"Alexander Stadium, Birmingham (GBR)",18.08,1182
35,10.07,-0.4,Yohan BLAKE,89,JAM,F,3,"Letzigrund, Zürich (SUI)",29.08,1184
36,10.08,-0.1,Michael RODGERS,85,USA,F,5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1179
37,10.08,+0.2,Arthur CISSÉ,96,CIV,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1179
38,10.08,+0.7,Adam GEMILI,93,GBR,H1,1,"Alexander Stadium, Birmingham (GBR)",18.08,1179
39,10.08,-0.4,Justin GATLIN,82,USA,F,4,"Letzigrund, Zürich (SUI)",29.08,1181
40,10.09,+0.9,Zhenye XIE,93,CHN,F,6,"Shanghai Stadium, Shanghai (CHN)",18.05,1176
41,10.09,-0.3,Yuki KOIKE,95,JPN,H1,4,"Olympic Stadium, London (GBR)",20.07,1177
42,10.09,+0.7,Christopher BELCHER,94,USA,H1,2,"Alexander Stadium, Birmingham (GBR)",18.08,1176
43,10.09,+2.0,Michael RODGERS,85,USA,F,3,"Alexander Stadium, Birmingham (GBR)",18.08,1176
44,10.10,+0.9,Filippo TORTU,98,ITA,F,4,"Bislett Stadion, Oslo (NOR)",13.06,1172
45,10.10,-0.4,Akani SIMBINE,93,RSA,F,5,"Letzigrund, Zürich (SUI)",29.08,1174
46,10.12,-0.1,Arthur CISSÉ,96,CIV,F,6,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1165
47,10.13,+0.5,Yoshihide KIRYU,95,JPN,F,7,"Olympic Stadium, London (GBR)",20.07,1162
48,10.13,+2.0,Christopher BELCHER,94,USA,F,4,"Alexander Stadium, Birmingham (GBR)",18.08,1162
49,10.13,+2.0,Andre DE GRASSE,94,CAN,F,5,"Alexander Stadium, Birmingham (GBR)",18.08,1162
50,10.14,+0.9,Isiah YOUNG,90,USA,F,7,"Shanghai Stadium, Shanghai (CHN)",18.05,1159
51,10.14,+0.3,Cravon GILLESPIE,96,USA,F,5,"Stade Louis II, Monaco (MON)",12.07,1159
52,10.14,-0.4,Cejhae GREENE,95,ANT,H2,3,"Olympic Stadium, London (GBR)",20.07,1161
53,10.14,+0.7,Andre DE GRASSE,94,CAN,H1,3,"Alexander Stadium, Birmingham (GBR)",18.08,1159
54,10.14,+2.0,Tyquendo TRACEY,93,JAM,F,6,"Alexander Stadium, Birmingham (GBR)",18.08,1159
55,10.15,+0.9,Michael RODGERS,85,USA,F,8,"Shanghai Stadium, Shanghai (CHN)",18.05,1155
56,10.15,+0.9,Yuki KOIKE,95,JPN,F,5,"Bislett Stadion, Oslo (NOR)",13.06,1155
57,10.15,+0.7,Akani SIMBINE,93,RSA,H1,4,"Alexander Stadium, Birmingham (GBR)",18.08,1155
58,10.15,+2.0,Akani SIMBINE,93,RSA,F,7,"Alexander Stadium, Birmingham (GBR)",18.08,1155
59,10.15,-0.4,Zharnel HUGHES,95,GBR,F,6,"Letzigrund, Zürich (SUI)",29.08,1157
60,10.15,-0.4,Adam GEMILI,93,GBR,F,7,"Letzigrund, Zürich (SUI)",29.08,1157
61,10.16,-0.4,Yoshihide KIRYU,95,JPN,H2,4,"Olympic Stadium, London (GBR)",20.07,1154
62,10.16,-0.3,Michael RODGERS,85,USA,H2,1,"Alexander Stadium, Birmingham (GBR)",18.08,1153
63,10.16,-0.4,Michael RODGERS,85,USA,F,8,"Letzigrund, Zürich (SUI)",29.08,1154
64,10.17,+0.3,Jimmy VICAUT,92,FRA,F,6,"Stade Louis II, Monaco (MON)",12.07,1148
65,10.17,-0.3,Arthur CISSÉ,96,CIV,H1,5,"Olympic Stadium, London (GBR)",20.07,1149
66,10.17,+2.0,Zhenye XIE,93,CHN,F,8,"Alexander Stadium, Birmingham (GBR)",18.08,1148
67,10.18,+0.9,Tyquendo TRACEY,93,JAM,F,9,"Shanghai Stadium, Shanghai (CHN)",18.05,1145
68,10.18,+0.9,Chijindu UJAH,94,GBR,F,6,"Bislett Stadion, Oslo (NOR)",13.06,1145
69,10.18,+0.2,Cameron BURRELL,94,USA,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1145
70,10.18,-0.4,Tyquendo TRACEY,93,JAM,H2,5,"Olympic Stadium, London (GBR)",20.07,1147
71,10.18,-0.3,Yohan BLAKE,89,JAM,H2,2,"Alexander Stadium, Birmingham (GBR)",18.08,1146
72,10.19,+0.2,Devin QUINN,96,USA,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1142
73,10.19,-0.4,Chijindu UJAH,94,GBR,H2,6,"Olympic Stadium, London (GBR)",20.07,1144
74,10.19,+0.5,Cejhae GREENE,95,ANT,F,8,"Olympic Stadium, London (GBR)",20.07,1142
75,10.19,+0.7,Tyquendo TRACEY,93,JAM,H1,5,"Alexander Stadium, Birmingham (GBR)",18.08,1142
76,10.19,-0.3,Zhenye XIE,93,CHN,H2,3,"Alexander Stadium, Birmingham (GBR)",18.08,1143
77,10.19,-0.3,Emre Zafer BARNES,88,TUR,F1,2,"Stade Charléty, Paris (FRA)",24.08,1143
78,10.20,+0.2,Kendal WILLIAMS,95,USA,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1138
79,10.21,-0.1,Filippo TORTU,98,ITA,F,7,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1135
80,10.21,-0.1,Cameron BURRELL,94,USA,F,8,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1135
81,10.25,+0.3,Arthur CISSÉ,96,CIV,F,7,"Stade Louis II, Monaco (MON)",12.07,1122
82,10.25,+0.5,Arthur CISSÉ,96,CIV,F,9,"Olympic Stadium, London (GBR)",20.07,1122
83,10.25,-0.3,Gavin SMELLIE,86,CAN,F1,3,"Stade Charléty, Paris (FRA)",24.08,1123
84,10.26,+0.3,Divine ODUDURU,96,NGR,F,8,"Stade Louis II, Monaco (MON)",12.07,1118
85,10.26,-0.3,Jerome BLAKE,95,CAN,F1,4,"Stade Charléty, Paris (FRA)",24.08,1119
86,10.27,-0.3,Amaury GOLITIN,97,FRA,F1,5,"Stade Charléty, Paris (FRA)",24.08,1116
87,10.28,+0.9,Tommy RAMDHAN,96,GBR,F,7,"Bislett Stadion, Oslo (NOR)",13.06,1112
88,10.28,-0.3,Andrew ROBERTSON,90,GBR,H1,6,"Olympic Stadium, London (GBR)",20.07,1113
89,10.28,-0.4,Harry AIKINES-ARYEETEY,88,GBR,H2,7,"Olympic Stadium, London (GBR)",20.07,1114
90,10.28,-0.4,Richard KILTY,89,GBR,H2,8,"Olympic Stadium, London (GBR)",20.07,1114
91,10.29,-0.3,Arthur CISSÉ,96,CIV,H2,4,"Alexander Stadium, Birmingham (GBR)",18.08,1109
92,10.29,-0.3,Bismark BOATENG,92,CAN,F1,6,"Stade Charléty, Paris (FRA)",24.08,1109
93,10.31,+0.7,Yuki KOIKE,95,JPN,H1,6,"Alexander Stadium, Birmingham (GBR)",18.08,1102
94,10.33,+0.2,Devon ALLEN,94,USA,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",05.07,1095
95,10.33,-0.3,Julian FORTE,93,JAM,H1,7,"Olympic Stadium, London (GBR)",20.07,1096
96,10.34,-0.3,Marvin RENÉ,95,FRA,F1,7,"Stade Charléty, Paris (FRA)",24.08,1093
97,10.34,-0.3,Diogo ANTUNES,92,POR,F1,8,"Stade Charléty, Paris (FRA)",24.08,1093
98,10.36,+1.4,Churandy MARTINA,84,NED,F2,,"Olympiastadion, Stockholm (SWE)",30.05,1085
99,10.36,+0.7,Cameron BURRELL,94,USA,H1,7,"Alexander Stadium, Birmingham (GBR)",18.08,1085
100,10.36,-0.3,Bingtian SU,89,CHN,H2,5,"Alexander Stadium, Birmingham (GBR)",18.08,1086
101,10.37,+0.4,Churandy MARTINA,84,NED,F1,1,"Olympiastadion, Stockholm (SWE)",30.05,1082
102,10.37,+0.7,Harry AIKINES-ARYEETEY,88,GBR,H1,8,"Alexander Stadium, Birmingham (GBR)",18.08,1082
103,10.38,-0.3,Oliver BROMBY,98,GBR,H1,8,"Olympic Stadium, London (GBR)",20.07,1080
104,10.40,-0.4,Alex WILSON,90,SUI,F,9,"Letzigrund, Zürich (SUI)",29.08,1074
105,10.41,+1.4,Jeff HENDERSON,89,USA,F2,1,"Olympiastadion, Stockholm (SWE)",30.05,1069
106,10.41,+0.7,Arian SMITH,01,USA,F,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1069
107,10.42,-0.1,Tyquendo TRACEY,93,JAM,F,9,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1066
108,10.42,-0.3,Romell GLAVE,99,JAM,H2,6,"Alexander Stadium, Birmingham (GBR)",18.08,1067
109,10.44,-0.3,Oliver BROMBY,98,GBR,H2,7,"Alexander Stadium, Birmingham (GBR)",18.08,1060
110,10.44,-0.3,Demek KEMP,96,USA,H2,8,"Alexander Stadium, Birmingham (GBR)",18.08,1060
111,10.45,+1.8,Salum Ageze KASHAFALI,93,NOR,F,1,"Bislett Stadion, Oslo (NOR)",13.06,1056
112,10.45,+0.2,Kojo MUSAH,96,DEN,F3,1,"Stade Charléty, Paris (FRA)",24.08,1056
113,10.46,+0.7,Marcellus MOORE,02,USA,F,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1053
114,10.51,+0.4,Austin HAMILTON,97,SWE,F1,2,"Olympiastadion, Stockholm (SWE)",30.05,1037
115,10.52,-1.1,Dylan RIGOT,89,FRA,F2,1,"Stade Charléty, Paris (FRA)",24.08,1040
116,10.53,+0.4,Solomon BOCKARIE,87,NED,F1,3,"Olympiastadion, Stockholm (SWE)",30.05,1031
117,10.53,+0.4,Gavin SMELLIE,86,CAN,F1,4,"Olympiastadion, Stockholm (SWE)",30.05,1031
118,10.53,+0.4,Rechmial MILLER,98,GBR,F1,5,"Olympiastadion, Stockholm (SWE)",30.05,1031
119,10.53,-1.1,Yazaldes NASCIMENTO,86,POR,F2,2,"Stade Charléty, Paris (FRA)",24.08,1037
120,10.53,+0.2,Pol RETAMAL,99,ESP,F3,2,"Stade Charléty, Paris (FRA)",24.08,1031
121,10.56,+0.7,Ryan MARTIN,01,USA,F,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1021
122,10.56,+0.2,Tazana Mikkel KAMANGA-DYRBAK,02,DEN,F3,3,"Stade Charléty, Paris (FRA)",24.08,1021
123,10.57,-1.1,Ryan ZEZE,98,FRA,F2,3,"Stade Charléty, Paris (FRA)",24.08,1024
124,10.60,+0.7,Ryan MULHOLLAND, - ,USA,F,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,1008
125,10.61,+1.8,Even MEINSETH,96,NOR,F,2,"Bislett Stadion, Oslo (NOR)",13.06,1005
126,10.63,+1.4,Michael LUXEMBURG,94,SWE,F2,2,"Olympiastadion, Stockholm (SWE)",30.05,999
127,10.63,+0.7,Lance BROOME, - ,USA,F,5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,999
128,10.64,+0.7,Tyrese COOPER,00,USA,F,6,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,996
129,10.66,+0.2,Mauro TRIANA,95,ESP,F3,4,"Stade Charléty, Paris (FRA)",24.08,990
130,10.68,+0.7,Myles MISENER-DALEY,01,CAN,F,7,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30.06,983
131,10.69,+0.4,Salum Ageze KASHAFALI,93,NOR,F1,6,"Olympiastadion, Stockholm (SWE)",30.05,980
132,10.69,-1.1,Frederico CURVELO,97,POR,F2,4,"Stade Charléty, Paris (FRA)",24.08,986
133,10.70,+0.2,Gregory MORNET,87,FRA,F3,5,"Stade Charléty, Paris (FRA)",24.08,977
134,10.71,-0.2,Gregory MORNET,87,FRA,F,1,"Stade Charléty, Paris (FRA)",24.08,975
135,10.71,-1.1,Carlos NASCIMENTO,94,POR,F2,5,"Stade Charléty, Paris (FRA)",24.08,980
136,10.72,-1.1,Jeremy LEROUX,94,FRA,F2,6,"Stade Charléty, Paris (FRA)",24.08,977
137,10.74,+1.8,Christian MENSAH,96,NOR,F,3,"Bislett Stadion, Oslo (NOR)",13.06,965
138,10.76,+0.9,Reece PRESCOD,96,GBR,F,8,"Bislett Stadion, Oslo (NOR)",13.06,959
139,10.77,-0.2,Ancuiam LOPES,91,POR,F,2,"Stade Charléty, Paris (FRA)",24.08,956
140,10.77,-1.1,Frederik SCHOU-NIELSEN,96,DEN,F2,7,"Stade Charléty, Paris (FRA)",24.08,961
141,10.77,+0.2,Ancuiam LOPES,91,POR,F3,6,"Stade Charléty, Paris (FRA)",24.08,955
142,10.78,+1.4,Lion MARTINEZ,78,SWE,F2,3,"Olympiastadion, Stockholm (SWE)",30.05,952
143,10.78,+0.2,Andreas TRAJKOVSKI,93,DEN,F3,7,"Stade Charléty, Paris (FRA)",24.08,952
144,10.80,+0.4,Emmanuel DAWLSON,92,SWE,F1,7,"Olympiastadion, Stockholm (SWE)",30.05,946
145,10.84,+0.4,Jean-Christian ZIRIGNON,95,SWE,F1,8,"Olympiastadion, Stockholm (SWE)",30.05,934
146,10.89,+1.8,Jacob VAULA,01,NOR,F,4,"Bislett Stadion, Oslo (NOR)",13.06,919
147,10.91,+1.8,Erik MIKKELJORD,99,NOR,F,5,"Bislett Stadion, Oslo (NOR)",13.06,913
148,10.91,+1.8,Sondre Faugstad AMUNDSEN,98,NOR,F,5,"Bislett Stadion, Oslo (NOR)",13.06,913
149,10.93,-0.4,James ELLINGTON,85,GBR,H2,9,"Olympic Stadium, London (GBR)",20.07,909
150,10.94,-0.2,Mahamat Zakaria KHALID,02,QAT,F,1,"Khalifa International Stadium, Doha (QAT)",03.05,905
151,10.96,+1.8,Tomasz SIEMIENIUCH,00,NOR,F,7,"Bislett Stadion, Oslo (NOR)",13.06,898
152,10.96,+0.5,Frederik NIELSEN,02,DEN,F,1,"Boudewijnstadion, Bruxelles (BEL)",06.09,898
153,10.98,-1.1,Albert RANNING,98,DEN,F2,8,"Stade Charléty, Paris (FRA)",24.08,898
154,11.02,-0.2,Mathieu MARTINY,94,FRA,F,3,"Stade Charléty, Paris (FRA)",24.08,881
155,11.03,-1.5,Youssef HDAR,01,MAR,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,886
156,11.04,-1.5,Hamza MOUDCHI,99,MAR,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,883
157,11.06,-0.2,Mohammed AL RAEI,01,QAT,F,2,"Khalifa International Stadium, Doha (QAT)",03.05,870
158,11.07,+1.8,Hallgeir MARTINSEN,89,NOR,F,8,"Bislett Stadion, Oslo (NOR)",13.06,866
159,11.08,-0.2,Dylan VERMONT,99,FRA,F,4,"Stade Charléty, Paris (FRA)",24.08,864
160,11.08,-0.2,Baptiste VAILHE,00,FRA,F,5,"Stade Charléty, Paris (FRA)",24.08,864
161,11.08,+0.5,Emiel BOTTERMAN,02,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",06.09,863
162,11.09,-1.5,Amine AIT ELHADJ,99,MAR,F,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,869
163,11.09,-1.5,Achraf BELMAATI, - ,MAR,F,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,869
164,11.09,+0.5,Arthur BOVY,02,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",06.09,860
165,11.10,-0.2,Saeed Othman ALABSI,02,QAT,F,3,"Khalifa International Stadium, Doha (QAT)",03.05,858
166,11.11,+1.4,Grigorios KYRIAKOUDIS,97,SWE,F2,4,"Olympiastadion, Stockholm (SWE)",30.05,854
167,11.13,-0.2,Nicolas-alexand BATRIN,00,FRA,F,6,"Stade Charléty, Paris (FRA)",24.08,849
168,11.14,+1.4,Oskar MOTTA,98,SWE,F2,5,"Olympiastadion, Stockholm (SWE)",30.05,845
169,11.16,-1.5,Anouar ELAOUFI,99,MAR,F,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,849
170,11.16,+0.5,Jente HAUTTEKEETE,02,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",06.09,840
171,11.17,-0.2,Mohammed Bader AL-ALI,03,QAT,F,4,"Khalifa International Stadium, Doha (QAT)",03.05,838
172,11.18,-0.2,Hamad Khalifa AL-ABDULLAH,02,QAT,F,5,"Khalifa International Stadium, Doha (QAT)",03.05,835
173,11.23,-1.5,Ismail SHAISSAH,02,MAR,F,6,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,829
174,11.26,+0.5,Olivier LIFRANGE,03,BEL,F,5,"Boudewijnstadion, Bruxelles (BEL)",06.09,811
175,11.26,+0.5,Stan SERVAES,02,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",06.09,811
176,11.32,-0.2,Boubacar TALL,81,FRA,F,7,"Stade Charléty, Paris (FRA)",24.08,795
177,11.33,-1.5,Mohamed SOUKAH, - ,MAR,F,7,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,800
178,11.36,-1.5,Jobe PAPA ALASSAN,94,GAM,F,8,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16.06,792
179,11.36,+0.5,Gautier BRICHET,02,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",06.09,783
180,11.44,-0.2,Andy VELNOM,99,FRA,F,8,"Stade Charléty, Paris (FRA)",24.08,762
181,11.47,+0.5,Yarne STEEGMANS,02,BEL,F,8,"Boudewijnstadion, Bruxelles (BEL)",06.09,753
