,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
20,10.14,-0.2,Erriyon KNIGHTON,04,USA,F,6,"Hayward Field, Eugene, OR (USA)",28.05,1160
21,10.14,-0.2,Kyree KING,94,USA,F,2,"Stadio Olimpico, Roma (ITA)",09.06,1160
22,10.14,-0.7,Elijah HALL,94,USA,F,6,"Stadion Śląski, Chorzów (POL)",06.08,1163
23,10.14,-0.3,Yupun ABEYKOON,94,SRI,F,5,"Letzigrund, Zürich (SUI)",08.09,1160
24,10.15,+0.5,Benjamin AZAMATI,98,GHA,F,4,"Bislett Stadion, Oslo (NOR)",16.06,1155
25,10.15,-0.5,Reece PRESCOD,96,GBR,F,2,"Olympiastadion, Stockholm (SWE)",30.06,1158
26,10.15,-0.7,Abdul Hakim SANI BROWN,99,JPN,F,7,"Stadion Śląski, Chorzów (POL)",06.08,1159
27,10.16,-0.2,Kyree KING,94,USA,F,7,"Hayward Field, Eugene, OR (USA)",28.05,1153
28,10.16,+0.5,Yupun ABEYKOON,94,SRI,F,5,"Bislett Stadion, Oslo (NOR)",16.06,1152
29,10.16,-0.3,Reece PRESCOD,96,GBR,F,6,"Letzigrund, Zürich (SUI)",08.09,1153
30,10.17,-0.2,Cravont CHARLESTON,98,USA,F,3,"Stadio Olimpico, Roma (ITA)",09.06,1149
31,10.17,-0.2,Nigel ELLIS,97,JAM,F,4,"Stadio Olimpico, Roma (ITA)",09.06,1149
32,10.18,-0.2,Yohan BLAKE,89,JAM,F,2,"Alexander Stadium, Birmingham (GBR)",21.05,1146
33,10.18,-0.2,Kenneth BEDNAREK,98,USA,F,8,"Hayward Field, Eugene, OR (USA)",28.05,1146
34,10.18,+0.5,Abdul Hakim SANI BROWN,99,JPN,F,6,"Bislett Stadion, Oslo (NOR)",16.06,1145
35,10.18,-0.3,Kyree KING,94,USA,F,7,"Letzigrund, Zürich (SUI)",08.09,1146
36,10.19,-0.5,Jeremiah AZU,01,GBR,F,1,"Alexander Stadium, Birmingham (GBR)",21.05,1145
37,10.19,-0.5,Jimmy VICAUT,92,FRA,F,3,"Olympiastadion, Stockholm (SWE)",30.06,1145
38,10.20,-0.2,Jerome BLAKE,95,CAN,F,3,"Alexander Stadium, Birmingham (GBR)",21.05,1139
39,10.21,-0.2,Andre DE GRASSE,94,CAN,F,9,"Hayward Field, Eugene, OR (USA)",28.05,1136
40,10.21,-0.5,Yupun ABEYKOON,94,SRI,F,4,"Olympiastadion, Stockholm (SWE)",30.06,1138
41,10.21,-0.7,Akani SIMBINE,93,RSA,F,8,"Stadion Śląski, Chorzów (POL)",06.08,1139
42,10.21,-0.3,Andre DE GRASSE,94,CAN,F,8,"Letzigrund, Zürich (SUI)",08.09,1136
43,10.22,-0.2,Emile ERASMUS,92,RSA,F,5,"Stadio Olimpico, Roma (ITA)",09.06,1133
44,10.23,-0.5,Aaron BROWN,92,CAN,F,2,"Alexander Stadium, Birmingham (GBR)",21.05,1131
45,10.24,-0.2,Andre DE GRASSE,94,CAN,F,4,"Alexander Stadium, Birmingham (GBR)",21.05,1126
46,10.24,-0.5,Mouhamadou FALL,92,FRA,F,5,"Olympiastadion, Stockholm (SWE)",30.06,1128
47,10.25,-0.2,Chituru ALI,99,ITA,F,6,"Stadio Olimpico, Roma (ITA)",09.06,1123
48,10.25,-1.6,Benjamin AZAMATI,98,GHA,F,1,"Stade Charléty, Paris (FRA)",18.06,1131
49,10.28,+0.5,Rohan BROWNING,97,AUS,F,7,"Bislett Stadion, Oslo (NOR)",16.06,1112
50,10.29,-0.2,Michael RODGERS,85,USA,F,7,"Stadio Olimpico, Roma (ITA)",09.06,1109
51,10.29,-0.7,Kyree KING,94,USA,F,9,"Stadion Śląski, Chorzów (POL)",06.08,1112
52,10.30,+0.5,Ojie EDOBURUN,96,GBR,F,8,"Bislett Stadion, Oslo (NOR)",16.06,1105
53,10.31,-0.2,Nethaneel MITCHELL-BLAKE,94,GBR,F,5,"Alexander Stadium, Birmingham (GBR)",21.05,1103
54,10.32,-1.6,Mouhamadou FALL,92,FRA,F,2,"Stade Charléty, Paris (FRA)",18.06,1108
55,10.34,-1.6,Jimmy VICAUT,92,FRA,F,3,"Stade Charléty, Paris (FRA)",18.06,1101
56,10.35,-0.2,Isiah YOUNG,90,USA,F,8,"Stadio Olimpico, Roma (ITA)",09.06,1090
57,10.35,+1.1,Elvis AFRIFA,97,NED,F1,1,"Bislett Stadion, Oslo (NOR)",16.06,1089
58,10.35,-1.6,Aymeric PRIAM,00,FRA,F,4,"Stade Charléty, Paris (FRA)",18.06,1098
59,10.38,-0.2,Adam GEMILI,93,GBR,F,6,"Alexander Stadium, Birmingham (GBR)",21.05,1080
60,10.38,-1.6,Henricho BRUINTJIES,93,RSA,F,5,"Stade Charléty, Paris (FRA)",18.06,1088
61,10.38,-0.5,Joris VAN GOOL,98,NED,F,6,"Olympiastadion, Stockholm (SWE)",30.06,1082
62,10.38,-0.5,Rohan BROWNING,97,AUS,F,7,"Olympiastadion, Stockholm (SWE)",30.06,1082
63,10.39,-0.2,Lucas ANSAH-PEPRAH,00,GER,F,9,"Stadio Olimpico, Roma (ITA)",09.06,1077
64,10.40,-0.5,Henrik LARSSON,99,SWE,F,8,"Olympiastadion, Stockholm (SWE)",30.06,1075
65,10.44,-0.5,Sam GORDON,94,GBR,F,3,"Alexander Stadium, Birmingham (GBR)",21.05,1062
66,10.45,-0.5,Adam THOMAS,95,GBR,F,4,"Alexander Stadium, Birmingham (GBR)",21.05,1059
67,10.45,-1.6,Sean SAFO-ANTWI,90,GHA,F,6,"Stade Charléty, Paris (FRA)",18.06,1065
68,10.46,+1.1,Jacob VAULA,01,NOR,F1,2,"Bislett Stadion, Oslo (NOR)",16.06,1053
69,10.47,-0.5,Taymir BURNET,92,NED,F,5,"Alexander Stadium, Birmingham (GBR)",21.05,1053
70,10.47,-0.5,Brendon RODNEY,92,CAN,F,6,"Alexander Stadium, Birmingham (GBR)",21.05,1053
71,10.49,-0.5,Xavi MO-AJOK,02,NED,F,7,"Alexander Stadium, Birmingham (GBR)",21.05,1046
72,10.52,-1.6,Hassan TAFTIAN,93,IRI,F,7,"Stade Charléty, Paris (FRA)",18.06,1043
73,10.58,-0.5,Joris VAN GOOL,98,NED,F,8,"Alexander Stadium, Birmingham (GBR)",21.05,1018
74,10.62,-1.6,Jeff ERIUS,04,FRA,F,8,"Stade Charléty, Paris (FRA)",18.06,1011
75,10.63,-0.5,Dewi HAMMOND,94,GBR,F,9,"Alexander Stadium, Birmingham (GBR)",21.05,1002
76,10.65,-0.2,Reece PRESCOD,96,GBR,F,7,"Alexander Stadium, Birmingham (GBR)",21.05,994
77,10.65,+1.1,Edem AGBO,99,NOR,F1,3,"Bislett Stadion, Oslo (NOR)",16.06,993
78,10.67,+0.3,Jørgen EVENSEN LUND,03,NOR,F2,1,"Bislett Stadion, Oslo (NOR)",16.06,986
79,10.69,+1.1,Sondre Faugstad AMUNDSEN,98,NOR,F1,4,"Bislett Stadion, Oslo (NOR)",16.06,980
80,10.76,+0.6,Dieter BERGS,05,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",02.09,959
81,10.78,+1.1,Sondre Lindaas GJESDAL,98,NOR,F1,5,"Bislett Stadion, Oslo (NOR)",16.06,952
82,10.84,+0.3,Valentin JENSEN,05,DEN,F2,2,"Bislett Stadion, Oslo (NOR)",16.06,934
83,10.91,+0.3,Einar RYE,01,NOR,F2,3,"Bislett Stadion, Oslo (NOR)",16.06,913
84,10.94,+0.3,Sondre Matias KUI RUDI,00,NOR,F2,4,"Bislett Stadion, Oslo (NOR)",16.06,904
85,10.98,+0.3,Johannes STEINSLAND GULBRANDSE LUNDE,03,NOR,F2,5,"Bislett Stadion, Oslo (NOR)",16.06,892
86,10.99,+0.6,Cédric MOTIEH,05,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",02.09,889
87,11.06,+0.6,Némo RASE,05,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",02.09,869
88,11.08,+0.3,Sander WERGE NILSEN,03,NOR,F2,6,"Bislett Stadion, Oslo (NOR)",16.06,863
89,11.08,+0.3,Vegard Dragsund SVERD,99,NOR,F2,7,"Bislett Stadion, Oslo (NOR)",16.06,863
90,11.10,+0.4,Gaetano BARONE,81,ITA,F,1,"Stadio Olimpico, Roma (ITA)",09.06,857
91,11.11,+0.3,Christian MENSAH,96,NOR,F2,8,"Bislett Stadion, Oslo (NOR)",16.06,854
92,11.12,+1.1,Sander STEEN MYRVANG,00,NOR,F1,6,"Bislett Stadion, Oslo (NOR)",16.06,851
93,11.17,+0.6,Jarno TORCK,05,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",02.09,837
94,11.25,+0.6,Maric LECHANTRE,05,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",02.09,814
95,11.35,+0.1,Warre DE PAUW,03,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",02.09,786
96,11.43,+0.6,Joshua LO BIANCO,05,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",02.09,764
