,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
0,9.92,-0.2,Fred KERLEY,95,USA,F,1,"Stadio Olimpico, Roma (ITA)",09.06,1235
1,9.93,-0.2,Trayvon BROMELL,95,USA,F,1,"Hayward Field, Eugene, OR (USA)",28.05,1232
2,9.94,-0.3,Trayvon BROMELL,95,USA,F,1,"Letzigrund, Zürich (SUI)",08.09,1228
3,9.95,-0.7,Trayvon BROMELL,95,USA,F,1,"Stadion Śląski, Chorzów (POL)",06.08,1228
4,9.98,-0.2,Fred KERLEY,95,USA,F,2,"Hayward Field, Eugene, OR (USA)",28.05,1214
5,10.00,-0.7,Marvin BRACY-WILLIAMS,93,USA,F,2,"Stadion Śląski, Chorzów (POL)",06.08,1210
6,10.00,-0.7,Ackeem BLAKE,02,JAM,F,3,"Stadion Śląski, Chorzów (POL)",06.08,1210
7,10.02,-0.5,Akani SIMBINE,93,RSA,F,1,"Olympiastadion, Stockholm (SWE)",30.06,1202
8,10.04,-0.2,Christian COLEMAN,96,USA,F,3,"Hayward Field, Eugene, OR (USA)",28.05,1194
9,10.05,-0.2,Noah LYLES,97,USA,F,4,"Hayward Field, Eugene, OR (USA)",28.05,1190
10,10.05,+0.5,Andre DE GRASSE,94,CAN,F,1,"Bislett Stadion, Oslo (NOR)",16.06,1189
11,10.05,-0.3,Yohan BLAKE,89,JAM,F,2,"Letzigrund, Zürich (SUI)",08.09,1190
12,10.06,+0.5,Reece PRESCOD,96,GBR,F,2,"Bislett Stadion, Oslo (NOR)",16.06,1186
13,10.06,-0.3,Aaron BROWN,92,CAN,F,3,"Letzigrund, Zürich (SUI)",08.09,1187
14,10.07,-0.3,Akani SIMBINE,93,RSA,F,4,"Letzigrund, Zürich (SUI)",08.09,1183
15,10.09,+0.5,Akani SIMBINE,93,RSA,F,3,"Bislett Stadion, Oslo (NOR)",16.06,1176
16,10.12,-0.2,Letsile TEBOGO,03,BOT,F,5,"Hayward Field, Eugene, OR (USA)",28.05,1166
17,10.13,-0.2,Aaron BROWN,92,CAN,F,1,"Alexander Stadium, Birmingham (GBR)",21.05,1163
18,10.13,-0.7,Christian COLEMAN,96,USA,F,4,"Stadion Śląski, Chorzów (POL)",06.08,1166
19,10.13,-0.7,Yohan BLAKE,89,JAM,F,5,"Stadion Śląski, Chorzów (POL)",06.08,1166
