results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.87,-0.4,Fred KERLEY,95,USA,F,1,"Letzigrund, Zürich (SUI)",09.09,1254
9.89,-0.4,Andre DE GRASSE,94,CAN,F,2,"Letzigrund, Zürich (SUI)",09.09,1247
9.91,+0.3,Ronnie BAKER,93,USA,F,1,"Stade Louis II, Monaco (MON)",09.07,1238
9.91,-0.4,Ronnie BAKER,93,USA,F,3,"Letzigrund, Zürich (SUI)",09.09,1240
9.94,+0.1,Fred KERLEY,95,USA,F,1,"Boudewijnstadion, Bruxelles (BEL)",03.09,1227
9.96,-0.4,Trayvon BROMELL,95,USA,F,4,"Letzigrund, Zürich (SUI)",09.09,1222
9.97,+0.1,Trayvon BROMELL,95,USA,F,2,"Boudewijnstadion, Bruxelles (BEL)",03.09,1217
9.98,+0.3,Akani SIMBINE,93,RSA,F,2,"Stade Louis II, Monaco (MON)",09.07,1213
9.98,+0.4,Trayvon BROMELL,95,USA,F,1,"International Stadium, Gateshead (GBR)",13.07,1213
9.98,+0.2,Marvin BRACY-WILLIAMS,93,USA,F,1,"Stadio Quercia, Rovereto (ITA)",31.08,1213
9.98,+0.1,Michael NORMAN,97,USA,F,3,"Boudewijnstadion, Bruxelles (BEL)",03.09,1213
9.99,+0.3,Lamont Marcell JACOBS,94,ITA,F,3,"Stade Louis II, Monaco (MON)",09.07,1210
10.00,+0.9,Femi OGUNODE,91,QAT,F,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28.05,1206
10.00,+0.3,Andre DE GRASSE,94,CAN,F,4,"Stade Louis II, Monaco (MON)",09.07,1206
10.01,+0.3,Trayvon BROMELL,95,USA,F,5,"Stade Louis II, Monaco (MON)",09.07,1203
10.02,+0.1,Ferdinand OMANYALA,96,KEN,F,4,"Boudewijnstadion, Bruxelles (BEL)",03.09,1199
10.03,-0.8,Ronnie BAKER,93,USA,F,1,"Olympiastadion, Stockholm (SWE)",04.07,1200
10.04,+0.7,Marvin BRACY-WILLIAMS,93,USA,F,1,"Stade Charléty, Paris (FRA)",28.08,1193
10.05,-0.8,Lamont Marcell JACOBS,94,ITA,F,2,"Olympiastadion, Stockholm (SWE)",04.07,1193
10.08,-0.1,Akani SIMBINE,93,RSA,F,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10.06,1179
10.08,+0.2,Mouhamadou FALL,92,FRA,F,1,"Stadion Wankdorf, Bern (SUI)",21.08,1179
10.10,-0.1,Chijindu UJAH,94,GBR,F,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10.06,1172
10.10,-0.8,Chijindu UJAH,94,GBR,F,3,"Olympiastadion, Stockholm (SWE)",04.07,1176
10.10,+0.4,Chijindu UJAH,94,GBR,F,2,"International Stadium, Gateshead (GBR)",13.07,1172
10.10,-0.4,Akani SIMBINE,93,RSA,F,5,"Letzigrund, Zürich (SUI)",09.09,1174
10.11,+0.5,Mouhamadou FALL,92,FRA,H3,1,"Stadion Wankdorf, Bern (SUI)",21.08,1169
10.12,+0.2,Rohan BROWNING,97,AUS,F,2,"Stadion Wankdorf, Bern (SUI)",21.08,1165
10.13,-0.8,Isiah YOUNG,90,USA,F,4,"Olympiastadion, Stockholm (SWE)",04.07,1166
10.13,+0.7,Reece PRESCOD,96,GBR,F,1,"International Stadium, Gateshead (GBR)",13.07,1162
10.13,+0.4,Zharnel HUGHES,95,GBR,F,3,"International Stadium, Gateshead (GBR)",13.07,1162
10.13,+0.4,Andre DE GRASSE,94,CAN,F,4,"International Stadium, Gateshead (GBR)",13.07,1162
10.13,+0.4,Fred KERLEY,95,USA,F,5,"International Stadium, Gateshead (GBR)",13.07,1162
10.13,+0.2,Cejhae GREENE,95,ANT,F,3,"Stadion Wankdorf, Bern (SUI)",21.08,1162
10.14,+0.6,Mouhamadou FALL,92,FRA,F,1,"Stade Charléty, Paris (FRA)",28.08,1159
10.14,+0.7,Nigel ELLIS,97,JAM,F,2,"Stade Charléty, Paris (FRA)",28.08,1159
10.14,+0.1,Rohan BROWNING,97,AUS,F,5,"Boudewijnstadion, Bruxelles (BEL)",03.09,1159
10.15,+0.5,Jerome BLAKE,95,CAN,F,1,"Olympiastadion, Stockholm (SWE)",04.07,1155
10.15,+0.3,Fred KERLEY,95,USA,F,6,"Stade Louis II, Monaco (MON)",09.07,1155
10.15,+0.6,Méba Mickaël ZEZE,94,FRA,F,2,"Stade Charléty, Paris (FRA)",28.08,1155
10.15,+0.2,Jerome BLAKE,95,CAN,F,2,"Stadio Quercia, Rovereto (ITA)",31.08,1155
10.16,-0.1,Emmanuel MATADI,91,LBR,F,3,"Stadio Luigi Ridolfi, Firenze (ITA)",10.06,1152
10.16,-0.1,Yupun ABEYKOON,94,SRI,F,4,"Stadio Luigi Ridolfi, Firenze (ITA)",10.06,1152
10.16,+0.5,Mouhamadou FALL,92,FRA,F,2,"Olympiastadion, Stockholm (SWE)",04.07,1152
10.17,+0.3,Filippo TORTU,98,ITA,F,7,"Stade Louis II, Monaco (MON)",09.07,1148
10.17,+0.4,Michael RODGERS,85,USA,F,6,"International Stadium, Gateshead (GBR)",13.07,1148
10.17,+0.7,Arthur CISSÉ,96,CIV,F,3,"Stade Charléty, Paris (FRA)",28.08,1148
10.18,-0.8,Aaron BROWN,92,CAN,F,5,"Olympiastadion, Stockholm (SWE)",04.07,1149
10.18,-0.8,Jerome BLAKE,95,CAN,F,6,"Olympiastadion, Stockholm (SWE)",04.07,1149
10.18,+0.1,Akani SIMBINE,93,RSA,F,6,"Boudewijnstadion, Bruxelles (BEL)",03.09,1145
10.18,-0.4,Rohan BROWNING,97,AUS,F,6,"Letzigrund, Zürich (SUI)",09.09,1147
10.19,-0.8,Marvin BRACY-WILLIAMS,93,USA,F,7,"Olympiastadion, Stockholm (SWE)",04.07,1146
10.19,+0.7,Jimmy VICAUT,92,FRA,F,4,"Stade Charléty, Paris (FRA)",28.08,1142
10.19,+0.2,Julian FORTE,93,JAM,F,3,"Stadio Quercia, Rovereto (ITA)",31.08,1142
10.19,+0.1,Mouhamadou FALL,92,FRA,F,7,"Boudewijnstadion, Bruxelles (BEL)",03.09,1142
10.21,+0.4,Isiah YOUNG,90,USA,F,7,"International Stadium, Gateshead (GBR)",13.07,1135
10.21,+0.4,Adam GEMILI,93,GBR,F,8,"International Stadium, Gateshead (GBR)",13.07,1135
10.21,+0.7,Julian FORTE,93,JAM,F,5,"Stade Charléty, Paris (FRA)",28.08,1135
10.22,+0.2,William REAIS,99,SUI,F,4,"Stadion Wankdorf, Bern (SUI)",21.08,1132
10.22,+0.7,Méba Mickaël ZEZE,94,FRA,F,6,"Stade Charléty, Paris (FRA)",28.08,1132
10.23,-0.4,Michael RODGERS,85,USA,F,7,"Letzigrund, Zürich (SUI)",09.09,1130
10.24,+0.2,Ricky PETRUCCIANI,00,SUI,F,5,"Stadion Wankdorf, Bern (SUI)",21.08,1125
10.25,-0.1,Michael RODGERS,85,USA,F,5,"Stadio Luigi Ridolfi, Firenze (ITA)",10.06,1122
10.25,+0.2,Silvan WICKI,95,SUI,F,6,"Stadion Wankdorf, Bern (SUI)",21.08,1122
10.25,+0.2,Rohan BROWNING,97,AUS,F,4,"Stadio Quercia, Rovereto (ITA)",31.08,1122
10.25,-0.4,Silvan WICKI,95,SUI,F,8,"Letzigrund, Zürich (SUI)",09.09,1124
