results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.92,-0.2,Fred KERLEY,95,USA,F,1,"Stadio Olimpico, Roma (ITA)",09.06,1235
9.93,-0.2,Trayvon BROMELL,95,USA,F,1,"Hayward Field, Eugene, OR (USA)",28.05,1232
9.94,-0.3,Trayvon BROMELL,95,USA,F,1,"Letzigrund, Zürich (SUI)",08.09,1228
9.95,-0.7,Trayvon BROMELL,95,USA,F,1,"Stadion Śląski, Chorzów (POL)",06.08,1228
9.98,-0.2,Fred KERLEY,95,USA,F,2,"Hayward Field, Eugene, OR (USA)",28.05,1214
10.00,-0.7,Marvin BRACY-WILLIAMS,93,USA,F,2,"Stadion Śląski, Chorzów (POL)",06.08,1210
10.00,-0.7,Ackeem BLAKE,02,JAM,F,3,"Stadion Śląski, Chorzów (POL)",06.08,1210
10.02,-0.5,Akani SIMBINE,93,RSA,F,1,"Olympiastadion, Stockholm (SWE)",30.06,1202
10.04,-0.2,Christian COLEMAN,96,USA,F,3,"Hayward Field, Eugene, OR (USA)",28.05,1194
10.05,-0.2,Noah LYLES,97,USA,F,4,"Hayward Field, Eugene, OR (USA)",28.05,1190
10.05,+0.5,Andre DE GRASSE,94,CAN,F,1,"Bislett Stadion, Oslo (NOR)",16.06,1189
10.05,-0.3,Yohan BLAKE,89,JAM,F,2,"Letzigrund, Zürich (SUI)",08.09,1190
10.06,+0.5,Reece PRESCOD,96,GBR,F,2,"Bislett Stadion, Oslo (NOR)",16.06,1186
10.06,-0.3,Aaron BROWN,92,CAN,F,3,"Letzigrund, Zürich (SUI)",08.09,1187
10.07,-0.3,Akani SIMBINE,93,RSA,F,4,"Letzigrund, Zürich (SUI)",08.09,1183
10.09,+0.5,Akani SIMBINE,93,RSA,F,3,"Bislett Stadion, Oslo (NOR)",16.06,1176
10.12,-0.2,Letsile TEBOGO,03,BOT,F,5,"Hayward Field, Eugene, OR (USA)",28.05,1166
10.13,-0.2,Aaron BROWN,92,CAN,F,1,"Alexander Stadium, Birmingham (GBR)",21.05,1163
10.13,-0.7,Christian COLEMAN,96,USA,F,4,"Stadion Śląski, Chorzów (POL)",06.08,1166
10.13,-0.7,Yohan BLAKE,89,JAM,F,5,"Stadion Śląski, Chorzów (POL)",06.08,1166
10.14,-0.2,Erriyon KNIGHTON,04,USA,F,6,"Hayward Field, Eugene, OR (USA)",28.05,1160
10.14,-0.2,Kyree KING,94,USA,F,2,"Stadio Olimpico, Roma (ITA)",09.06,1160
10.14,-0.7,Elijah HALL,94,USA,F,6,"Stadion Śląski, Chorzów (POL)",06.08,1163
10.14,-0.3,Yupun ABEYKOON,94,SRI,F,5,"Letzigrund, Zürich (SUI)",08.09,1160
10.15,+0.5,Benjamin AZAMATI,98,GHA,F,4,"Bislett Stadion, Oslo (NOR)",16.06,1155
10.15,-0.5,Reece PRESCOD,96,GBR,F,2,"Olympiastadion, Stockholm (SWE)",30.06,1158
10.15,-0.7,Abdul Hakim SANI BROWN,99,JPN,F,7,"Stadion Śląski, Chorzów (POL)",06.08,1159
10.16,-0.2,Kyree KING,94,USA,F,7,"Hayward Field, Eugene, OR (USA)",28.05,1153
10.16,+0.5,Yupun ABEYKOON,94,SRI,F,5,"Bislett Stadion, Oslo (NOR)",16.06,1152
10.16,-0.3,Reece PRESCOD,96,GBR,F,6,"Letzigrund, Zürich (SUI)",08.09,1153
10.17,-0.2,Cravont CHARLESTON,98,USA,F,3,"Stadio Olimpico, Roma (ITA)",09.06,1149
10.17,-0.2,Nigel ELLIS,97,JAM,F,4,"Stadio Olimpico, Roma (ITA)",09.06,1149
10.18,-0.2,Yohan BLAKE,89,JAM,F,2,"Alexander Stadium, Birmingham (GBR)",21.05,1146
10.18,-0.2,Kenneth BEDNAREK,98,USA,F,8,"Hayward Field, Eugene, OR (USA)",28.05,1146
10.18,+0.5,Abdul Hakim SANI BROWN,99,JPN,F,6,"Bislett Stadion, Oslo (NOR)",16.06,1145
10.18,-0.3,Kyree KING,94,USA,F,7,"Letzigrund, Zürich (SUI)",08.09,1146
10.19,-0.5,Jeremiah AZU,01,GBR,F,1,"Alexander Stadium, Birmingham (GBR)",21.05,1145
10.19,-0.5,Jimmy VICAUT,92,FRA,F,3,"Olympiastadion, Stockholm (SWE)",30.06,1145
