results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.17,0.6,Jaysuma SAIDY NDURE,84,NOR,F,4.0,"Stadio Olimpico, Roma (ITA)",10.06,1148
10.17,-0.4,Michael RODGERS,85,USA,F,5.0,"Crystal Palace, London (GBR)",13.08,1150
10.18,1.2,Ryan MOSELEY,82,AUT,H2,5.0,"Bislett Stadion, Oslo (NOR)",4.06,1145
10.18,-1.7,Trell KIMMONS,85,USA,F,4.0,"International Stadium, Gateshead (GBR)",10.07,1155
10.19,0.6,Lerone CLARKE,81,JAM,F,5.0,"Stadio Olimpico, Roma (ITA)",10.06,1142
10.19,-0.8,Sam EFFAH,88,CAN,F2,3.0,"Letzigrund, Zürich (SUI)",19.08,1146
10.19,1.1,Marlon DEVONISH,76,GBR,H2,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1142
10.19,0.6,Marlon DEVONISH,76,GBR,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1142
10.2,-0.3,Martial MBANDJOCK,85,FRA,F,8.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1139
10.2,0.0,Mario FORSYTHE,85,JAM,F,5.0,"Olympiastadion, Stockholm (SWE)",6.08,1138
10.2,0.1,Trell KIMMONS,85,USA,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1138
10.21,0.0,Michael RODGERS,85,USA,F,6.0,"Olympiastadion, Stockholm (SWE)",6.08,1135
10.21,-0.4,J-Mee SAMUELS,87,USA,H1,3.0,"Crystal Palace, London (GBR)",13.08,1137
10.21,0.1,Dexter LEE,91,JAM,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1135
10.22,0.5,Ainsley WAUGH,81,JAM,F,4.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1132
10.22,-0.7,Michael RODGERS,85,USA,H1,3.0,"Olympiastadion, Stockholm (SWE)",6.08,1136
10.22,0.0,Travis PADGETT,86,USA,F,7.0,"Olympiastadion, Stockholm (SWE)",6.08,1132
